time,pmt_high_voltage,pmt_current,v_p2p_ch1,v_rms_ch1,v_p2p_ch2,v_rms_ch2
1741440403.4066625,700.1,67.78,0.0399999991,0.0105681196,0.0408000015,0.0127312141
1741440409.3265054,705.1,68.495,0.0423999988,0.0115858419,0.0423999988,0.0114105847
1741440414.8514824,710.1,69.305,0.0447999984,0.0127684176,0.0408000015,0.0113084549
1741440420.6699123,715.1,70.055,0.0407999977,0.0113000227,0.0399999991,0.009989433
1741440426.2485182,719.8,70.82,0.0447999984,0.0100778071,0.0416000001,0.012972977
1741440432.2842586,725.0,71.575,0.0392000005,0.0124748675,0.0407999977,0.0102652889
1741440437.8495412,730.1,72.335,0.0423999988,0.0119812824,0.0423999988,0.0104079498
1741440443.5224953,735.0,73.09,0.0439999998,0.0128045101,0.0448000021,0.0111135393
1741440449.1023433,739.9,73.835,0.0423999988,0.0100427354,0.0447999984,0.009528406
1741440454.956769,745.0,74.62,0.0471999981,0.0111115118,0.0447999984,0.012313555
1741440461.061262,749.9,75.35,0.0432000011,0.0127720637,0.0431999974,0.012075685
1741440466.606991,754.9,76.12,0.0480000004,0.0119898254,0.0423999988,0.0118272603
1741440472.2533185,759.8,76.855,0.0456000008,0.0120105902,0.0416000001,0.0099622328
1741440477.9120657,765.1,77.645,0.0423999988,0.0129125891,0.0416000001,0.0127358865
1741440483.6255534,770.1,78.405,0.0439999998,0.0103983367,0.0423999988,0.0095815873
1741440489.328065,774.9,79.14,0.0487999991,0.0127179138,0.0432000011,0.01218725
1741440495.22928,780.1,79.925,0.0408000015,0.0125121083,0.0471999981,0.0118772816
1741440500.7722776,784.7,80.615,0.0432000011,0.0134860836,0.0447999984,0.0105639063
1741440506.5218663,790.0,81.435,0.0423999988,0.0109765157,0.0416000001,0.011823127
1741440512.3654156,795.0,82.195,0.0383999981,0.012059099,0.0424000025,0.0130673358
1741440518.0864458,800.1,82.97,0.0439999998,0.0128476759,0.0416000001,0.0108097438
1741440524.0553,804.9,83.705,0.0439999998,0.0100067444,0.0408000015,0.0102855144
1741440529.861416,810.0,84.47,0.0431999974,0.0128466003,0.0456000008,0.0125518795
1741440535.5838737,815.1,85.24,0.045599997,0.0109670963,0.0408000015,0.0103045525
1741440541.6758637,820.0,85.995,0.0368000008,0.0083556473,0.0431999974,0.010824305
1741440547.5139885,825.2,86.76,0.0423999988,0.0113420356,0.0423999988,0.009953321
1741440553.6790924,830.2,87.53,0.0504000001,0.0108910725,0.0479999967,0.0133708147
1741440559.322971,835.2,88.285,0.0463999994,0.0117416745,0.0447999984,0.0122157885
1741440564.9880044,840.1,89.035,0.0408000015,0.0101292543,0.0456000008,0.0130063258
1741440570.936721,845.0,89.77,0.0423999988,0.0106697548,0.0399999991,0.0128713287
1741440576.5767052,850.0,90.545,0.0439999998,0.0124609452,0.0431999974,0.0126468353
1741440582.4202764,855.0,91.295,0.0463999994,0.0127915237,0.0447999984,0.011844757
1741440588.2916543,860.1,92.075,0.0456000008,0.0107073085,0.0408000015,0.0108959852
1741440594.1923032,864.5,92.835,0.0447999984,0.0118315285,0.0447999984,0.0105264811
1741440600.0199516,870.0,93.58,0.0416000001,0.0123046981,0.0431999974,0.0095535088
1741440605.652984,875.0,94.345,0.0439999998,0.0101496289,0.0432000011,0.010342624
1741440611.3518312,879.9,95.1,0.0463999994,0.0114524337,0.0383999981,0.0131870741
1741440617.0371087,885.1,95.81,0.0431999974,0.0119646583,0.0432000011,0.0114530222
1741440622.9365704,890.0,96.63,0.0519999973,0.0122750178,0.0504000001,0.0117012542
1741440628.7415216,895.0,97.385,0.0407999977,0.010858153,0.0423999988,0.0113851903
1741440634.4739509,899.9,98.135,0.0439999998,0.011255621,0.0431999974,0.0107572619
1741440640.1395476,905.1,98.9,0.0447999984,0.0110501368,0.0392000005,0.0098328777
1741440645.6739318,910.1,99.675,0.0416000001,0.0113417422,0.0408000015,0.0133866072
1741440651.4067767,915.1,100.42,0.0432000011,0.0101911826,0.0431999974,0.0095935017
1741440657.1036134,919.8,101.14,0.0368000008,0.0120028798,0.0408000015,0.0103496378
1741440663.072267,925.1,101.945,0.0423999988,0.0131567298,0.0439999998,0.0126200086
1741440668.707172,930.1,102.71,0.0392000005,0.0108345207,0.0447999984,0.0100966999
1741440674.2180262,935.0,103.46,0.0416000001,0.0103123458,0.0456000008,0.010306959
1741440679.8651724,940.1,104.225,0.0392000005,0.012496491,0.045599997,0.0124351662
1741440685.5241249,945.2,105.005,0.0463999994,0.0112772379,0.0456000008,0.0121562183
1741440691.4671803,950.1,105.755,0.0519999973,0.0105629321,0.0416000001,0.0138685368
1741440697.2600632,955.1,106.52,0.0463999994,0.0137061253,0.0416000001,0.0100272186
1741440703.1066792,960.0,107.25,0.0432000011,0.0136452662,0.0416000001,0.0130264014
1741440708.8560033,965.1,108.045,0.0447999984,0.0120623689,0.0447999984,0.0127708241
1741440714.7441282,969.9,108.77,0.0384000018,0.0131491786,0.0423999988,0.0111730415
1741440720.3208075,975.2,109.555,0.0432000011,0.0129633658,0.0392000005,0.0106406482
1741440726.1369634,980.0,110.285,0.0432000011,0.0109555358,0.0463999994,0.0101312427
1741440731.6577175,985.1,111.07,0.0383999981,0.01188224,0.0399999991,0.0106147472
1741440737.6637764,990.1,111.82,0.0439999998,0.0114963809,0.0471999981,0.0121767977
1741440743.3221662,995.2,112.6,0.0463999994,0.010333458,0.0407999977,0.0111640422
1741440749.0906806,1000.1,113.34,0.0408000015,0.0108120497,0.0407999977,0.0122800898
1741440754.7622976,1004.4,114.115,0.0416000001,0.0138174547,0.0456000008,0.0107050641
1741440760.3294632,1010.1,114.86,0.0392000005,0.0103021087,0.0407999977,0.0106324572
1741440766.1337426,1014.9,115.595,0.0432000011,0.0132301887,0.0456000008,0.0107237725
1741440771.9929886,1020.1,116.395,0.0432000011,0.0095600709,0.0372000001,0.0118626719
1741440777.5253904,1024.9,117.115,0.0375999995,0.0134496689,0.0424000025,0.0115456041
1741440783.2973104,1030.1,117.835,0.0447999984,0.0096872291,0.0439999998,0.0103119528
1741440789.082301,1035.0,118.66,0.0447999984,0.0109982705,0.0399999991,0.0104265194
1741440794.9170642,1040.1,119.44,0.0392000005,0.0126615046,0.0392000005,0.0116770407
1741440800.67092,1045.0,120.175,0.0416000001,0.01032471,0.0416000001,0.0127315121
1741440806.6695077,1050.3,120.975,0.0351999998,0.0132197412,0.0439999998,0.012393835
1741440812.6409812,1055.3,121.645,0.0456000008,0.0112085473,0.0487999991,0.0116729643
1741440818.3977683,1060.1,122.46,0.0439999998,0.0116623258,0.0447999984,0.0104276659
1741440824.309922,1065.2,123.245,0.0424000025,0.0118261697,0.0431999974,0.0119645009
1741440829.8173752,1070.0,123.975,0.0463999994,0.0108465375,0.0463999994,0.0126226302
1741440835.719524,1075.3,124.775,0.0496000014,0.0109771807,0.0399999991,0.0107108885
1741440841.463772,1080.1,125.515,0.0416000001,0.0130336639,0.0480000004,0.0117485728
1741440847.1438968,1085.2,126.285,0.0456000008,0.0108592762,0.0439999998,0.0108184824
1741440852.7454069,1090.1,127.035,0.0487999991,0.0127062891,0.0408000015,0.0123980185
1741440858.3611293,1095.0,127.775,0.0423999988,0.0129779633,0.0431999974,0.0118415356
1741440864.3137782,1099.6,128.58,0.0423999988,0.0109084202,0.0447999984,0.0133929579
1741440870.0076702,1104.9,129.33,0.0423999988,0.012380817,0.0480000004,0.0140090995
1741440875.772851,1110.1,130.085,0.0408000015,0.0136570409,0.0407999977,0.0122101167
1741440881.5074525,1114.9,130.845,0.0472000018,0.0122568943,0.0431999974,0.0110698771
1741440887.3178859,1120.1,131.605,0.0432000011,0.0133474711,0.0375999995,0.0116641885
1741440893.2694714,1125.0,132.35,0.0408000015,0.0125131318,0.0480000004,0.0119668236
1741440898.899103,1130.1,133.125,0.0456000008,0.010593296,0.0447999984,0.0126718432
1741440904.5616589,1134.9,133.855,0.0416000001,0.0131897246,0.0416000001,0.0122409454
1741440910.4749866,1140.1,134.655,0.0432000011,0.0132018831,0.0432000011,0.0139555428
1741440916.2158647,1144.8,135.365,0.0407999977,0.0137177585,0.045599997,0.0093899788
1741440922.0583138,1150.2,136.165,0.0407999977,0.011849816,0.0432000011,0.0114307217
1741440927.8916717,1155.3,136.945,0.0487999991,0.0103742089,0.0447999984,0.0107873119
1741440933.5860088,1160.2,137.69,0.0384000018,0.0104188127,0.0399999991,0.0121103097
1741440939.5093534,1165.2,138.42,0.0423999988,0.012070572,0.0416000001,0.0121039953
1741440945.125824,1170.1,139.205,0.0487999991,0.0118579324,0.0399999991,0.0107838297
1741440950.969788,1174.9,139.98,0.0416000001,0.0128596937,0.0463999994,0.0101628173
1741440956.5017374,1180.2,140.74,0.0456000008,0.009642004,0.0447999984,0.0097597083
1741440962.2277167,1185.1,141.485,0.0463999994,0.0116228852,0.0447999984,0.0121414624
1741440968.0079885,1190.2,142.26,0.0439999998,0.0128980102,0.0416000001,0.011444686
1741440973.7640846,1195.1,143.0,0.0471999981,0.0099679893,0.0480000004,0.010864865
1741440979.1979613,1200.1,143.68,0.0408000015,0.0103865536,0.0399999991,0.013702428
1741440984.7877123,1205.2,144.55,0.0375999995,0.0132135469,0.0439999998,0.0122513566
1741440990.5270894,1210.1,145.295,0.0392000005,0.0131168067,0.0447999984,0.0136744138
1741440996.4218593,1215.2,146.015,0.0416000001,0.0106418114,0.045599997,0.0088942097
1741441002.197765,1220.1,146.815,0.0480000004,0.0103535634,0.0407999977,0.0094127981
1741441007.878314,1225.1,147.58,0.0416000001,0.0126476111,0.0423999988,0.0110710915
1741441013.524778,1230.1,148.35,0.0471999981,0.0116730593,0.0432000011,0.0125337346
1741441019.2120118,1235.0,149.09,0.0439999998,0.012316633,0.0399999991,0.0120395413
1741441024.734241,1240.1,149.87,0.0432000011,0.0102248723,0.0456000008,0.0107844593
1741441030.3312373,1245.2,150.625,0.0416000001,0.0101906843,0.0399999991,0.0112819644
1741441035.99244,1250.0,151.375,0.0384000018,0.0113759004,0.0456000008,0.0140791386
1741441041.7332203,1255.3,152.165,0.0383999981,0.010696101,0.0375999995,0.0120504554
1741441047.464165,1260.2,152.92,0.0471999981,0.0106096473,0.0384000018,0.0128834238
1741441053.1045878,1265.1,153.65,0.0448000021,0.0113942558,0.0471999981,0.0100504933
1741441058.6001105,1270.2,154.44,0.0408000015,0.0113118812,0.0408000015,0.0134403631
1741441064.4504502,1275.2,155.195,0.0407999977,0.0123788379,0.0456000008,0.0149355475
1741441069.9534361,1280.3,155.975,0.0392000005,0.0116056856,0.0399999991,0.0128805283
1741441075.6706586,1284.5,156.73,0.0368000008,0.0139285829,0.0423999988,0.0125161698
1741441081.6220946,1290.2,157.475,0.0399999991,0.00994022,0.0487999991,0.0121215126
1741441087.368878,1295.2,158.24,0.0383999981,0.0110493414,0.0392000005,0.0129817817
1741441092.8937414,1300.0,159.005,0.0423999988,0.0120016811,0.0439999998,0.0104649914
1741441098.827891,1304.8,159.69,0.0439999998,0.0131239314,0.0416000001,0.0113834925
1741441104.4509768,1310.1,160.51,0.0423999988,0.0113932444,0.0392000005,0.0096746152
1741441110.142485,1314.8,161.23,0.0423999988,0.0099367453,0.0431999974,0.0113203311
1741441116.0254776,1320.1,162.035,0.0416000001,0.0108512947,0.0408000015,0.0106447143
1741441121.6703043,1325.1,162.73,0.0472000018,0.0118321059,0.0375999995,0.0129256826
1741441127.1848817,1330.1,163.57,0.0416000001,0.0101934224,0.0456000008,0.0114230681
1741441132.7758744,1335.1,164.32,0.0399999991,0.0131540298,0.0432000011,0.0105659058
1741441138.4238532,1340.0,165.065,0.0432000011,0.0118098157,0.0392000005,0.0130729591
1741441144.0977159,1344.3,165.84,0.0407999977,0.0109443516,0.0423999988,0.0107993148
1741441149.8028412,1350.0,166.59,0.0375999995,0.0138863269,0.0399999991,0.0106341997
1741441155.2994637,1354.9,167.37,0.0375999995,0.0109648239,0.0423999988,0.012890486
1741441161.0578349,1359.6,168.04,0.0439999998,0.0113403723,0.0416000001,0.0098028323
1741441166.487784,1365.0,168.875,0.0439999998,0.0112226903,0.0423999988,0.0120745637
1741441172.3184905,1369.9,169.62,0.0472000018,0.0107924035,0.0439999998,0.012727676
1741441177.763164,1375.1,170.4,0.0392000005,0.0134566547,0.0504000001,0.0131601095
1741441183.3226993,1380.2,171.18,0.0447999984,0.0104546547,0.0408000015,0.0104043363
1741441188.9672546,1385.1,171.93,0.0375999995,0.0101256128,0.0423999988,0.011971538
1741441194.6131718,1390.2,172.65,0.0439999998,0.0124183493,0.0447999984,0.0098038372
1741441200.6376257,1395.1,173.455,0.0480000004,0.0113763623,0.0487999991,0.0106333522
1741441206.1221266,1400.1,174.215,0.0383999981,0.011309538,0.0439999998,0.0102666654
1741441212.009369,1404.4,174.99,0.0432000011,0.0106664784,0.0456000008,0.0109313447
1741441217.6213934,1409.9,175.75,0.0407999977,0.0110405684,0.0439999998,0.010958056
1741441223.3117638,1415.1,176.375,0.0416000001,0.0110086156,0.0416000001,0.0115429228
1741441228.8796163,1420.0,177.245,0.0463999994,0.0108072087,0.0447999984,0.013983842
1741441234.4406428,1424.9,177.995,0.0447999984,0.0126030659,0.0407999977,0.0121235801
1741441240.1157978,1430.1,178.71,0.0399999991,0.0101926401,0.0471999981,0.0111189075
1741441245.6324534,1435.1,179.535,0.0439999998,0.0125033744,0.0463999994,0.0094810417
1741441251.4454901,1440.0,180.285,0.0487999991,0.011803898,0.0439999998,0.0120206755
1741441257.3223767,1445.1,181.06,0.0399999991,0.0141437845,0.0407999977,0.0099011548
1741441262.778364,1449.9,181.795,0.0439999998,0.0099655874,0.0439999998,0.0103583606
1741441268.4076805,1454.9,182.56,0.0416000001,0.0118354317,0.0432000011,0.0138803078
1741441273.9378266,1460.1,183.345,0.0759999976,0.0118424436,0.057599999,0.0121667059
1741441279.810243,1465.1,184.105,0.0368000008,0.0137626436,0.045599997,0.0116083557
1741441285.4571986,1469.6,184.86,0.0471999981,0.0104864724,0.0432000011,0.0100937318
1741441290.9717033,1475.1,185.64,0.0447999984,0.0108754821,0.0431999974,0.0130053312
1741441296.5084763,1480.0,186.385,0.0360000022,0.0104158949,0.0439999998,0.0119433664
1741441302.2259243,1485.0,187.135,0.0399999991,0.0127039002,0.0407999977,0.0109154731
1741441307.8409142,1490.1,187.915,0.0447999984,0.0109768221,0.0368000008,0.0132408598
1741441313.4684515,1495.0,188.675,0.0447999984,0.0124378568,0.0439999998,0.0100997947
1741441319.5668373,1500.0,189.43,0.0447999984,0.0111158416,0.0444000028,0.0091222404
1741441325.2254598,1504.9,190.185,0.0423999988,0.0126935206,0.0416000001,0.0121325264
1741441330.9623334,1510.2,190.965,0.0456000008,0.0136974677,0.0368000008,0.0127931852
1741441336.8876219,1515.1,191.715,0.0423999988,0.0120842559,0.0359999985,0.0126334392
1741441342.5437427,1520.1,192.485,0.0432000011,0.0120452018,0.0487999991,0.0123130595
1741441347.9610465,1525.1,193.24,0.0424000025,0.0096276551,0.0439999998,0.0100605497
1741441353.8460526,1530.1,193.995,0.0416000001,0.0119560938,0.0399999991,0.0117289778
1741441359.407227,1534.1,194.765,0.0439999998,0.0106851654,0.0456000008,0.0117094442
1741441365.1463456,1540.0,195.52,0.045599997,0.0144817671,0.0439999998,0.0121876318
1741441371.0024197,1544.7,196.3,0.0343999974,0.0126649225,0.0416000001,0.012755882
1741441376.5848958,1550.0,197.04,0.0392000005,0.0120164882,0.0432000011,0.0125779584
1741441382.290914,1554.9,197.82,0.0439999998,0.0110154916,0.0456000008,0.0133115333
1741441387.9049954,1560.1,198.575,0.0439999998,0.0118428655,0.0439999998,0.011853327
1741441393.346242,1565.0,199.325,0.0439999998,0.0103857722,0.0407999977,0.0128124943
1741441398.9664972,1570.0,200.09,0.0423999988,0.0120291701,0.0399999991,0.0116055021
1741441404.6678925,1574.9,200.82,0.0416000001,0.0122569259,0.0416000001,0.0099631846
1741441410.3865442,1580.1,201.615,0.0375999995,0.0142232981,0.0375999995,0.0127727455
1741441415.9312868,1584.9,202.345,0.0399999991,0.0106980288,0.0463999994,0.01036321
1741441421.4405818,1590.1,203.16,0.0392000005,0.0106074056,0.0456000008,0.0101060811
1741441427.03016,1595.1,203.92,0.0423999988,0.0114034861,0.0399999991,0.0134879323
1741441432.6018407,1600.1,204.67,0.045599997,0.0114321485,0.0408000015,0.0120150074
1741441438.166495,1604.9,205.415,0.0424000025,0.0102369459,0.0487999991,0.0148283355
1741441443.7203014,1609.8,206.15,0.0408000015,0.0099457325,0.0383999981,0.0111070704
1741441449.399787,1615.2,206.865,0.0544000007,0.011300046,0.0383999981,0.0171855241
1741441454.9520352,1620.1,207.725,0.0399999991,0.0117934896,0.0399999991,0.0113633275
1741441460.652833,1625.0,208.465,0.0383999981,0.0103146052,0.0487999991,0.010733149
1741441466.3726265,1630.1,209.255,0.0408000015,0.0108956881,0.0407999977,0.0166905262
1741441472.122688,1635.0,210.0,0.0423999988,0.0102487886,0.0439999998,0.012748505
1741441478.3890908,1640.2,210.785,0.1700000167,0.0139814662,0.1160000116,0.0119546521
1741441484.4052548,1645.1,211.54,0.1960000098,0.0123852408,0.15200001,0.0122236079
1741441490.5696118,1650.1,212.295,0.0520000011,0.01215526,0.0456000008,0.0117232772
1741441496.1826959,1655.1,212.985,0.0408000015,0.0108905826,0.0351999998,0.0119879348
1741441501.9154036,1660.1,213.825,0.0472000018,0.0108929379,0.0527999997,0.0111214574
1741441507.6720462,1664.9,214.56,0.0439999998,0.0159938317,0.0416000001,0.0101324776
1741441513.1443832,1670.1,215.345,0.0399999991,0.0160594769,0.0423999988,0.0128088398
1741441518.891749,1675.1,216.1,0.0399999991,0.0104532018,0.0447999984,0.0112075461
1741441524.6484756,1680.1,216.83,0.0423999988,0.0105830207,0.0375999995,0.0147969723
