time,pmt_high_voltage,pmt_current,v_p2p_ch1,v_rms_ch1,v_p2p_ch2,v_rms_ch2
1742925915.267633,700.1,68.19,0.0085999994,0.0005774611,0.0037999998,0.0012898262
1742925918.8798192,700.1,68.19,0.0092000002,0.0012122733,0.0040000002,0.0014146831
1742925922.1842058,705.0,68.955,0.0095999995,0.0012150801,0.0076000001,0.0016040714
1742925925.6116319,710.1,69.735,0.0093999999,0.0011097707,0.0037999998,0.0012281414
1742925928.899322,715.1,70.5,0.0076000001,0.0010130006,0.0060000001,0.0015350999
1742925932.2010758,720.1,71.26,0.0089999996,0.0010846251,0.0104,0.001583109
1742925935.482023,725.0,72.03,0.0098000001,0.0012870415,0.0109999999,0.000695334
1742925938.7377243,730.0,72.79,0.0074,0.0011475324,0.0108000003,0.001446865
1742925942.0671349,735.0,73.55,0.0082,0.0011080242,0.0115999999,0.001387774
1742925945.363212,740.0,74.325,0.0069999998,0.0011247491,0.0099999998,0.0012615405
1742925948.7399726,745.0,75.085,0.0088,0.0006004222,0.0057999999,0.0013301121
1742925952.0608737,750.0,75.85,0.0060000001,0.0009756375,0.0068000001,0.0013015479
1742925955.3149748,755.0,76.61,0.0099999998,0.0010406439,0.0082,0.0006936707
1742925958.7431676,759.9,77.375,0.0077999998,0.001070085,0.0107999993,0.0012743055
1742925962.0370188,765.0,78.135,0.0062000002,0.0005525885,0.0060000001,0.0014097962
1742925965.3071566,770.1,78.92,0.0064000003,0.0006409276,0.0114000002,0.0012632775
1742925968.5950966,775.1,79.68,0.0063999998,0.0010117411,0.0080000004,0.000777371
1742925971.8764398,780.1,80.445,0.0071999999,0.0010645612,0.0041999999,0.0013982743
1742925975.2064805,785.0,81.205,0.0062000002,0.0010077941,0.0120000001,0.0013959887
1742925978.5531833,790.0,81.97,0.0063999998,0.0010035072,0.0040000002,0.0012321468
1742925981.8768218,795.1,82.745,0.0086000003,0.0006108659,0.0054000001,0.0012326771
1742925985.3043501,800.1,83.505,0.0062000002,0.0011386616,0.0063999998,0.0011759971
1742925988.5737665,805.0,84.27,0.0082,0.0010290797,0.0053999997,0.0013548621
1742925991.8651497,810.0,85.035,0.0060000001,0.0005173422,0.0085999994,0.0012184061
1742925995.1994357,815.0,85.805,0.0093999999,0.0011698287,0.0111999996,0.0014512356
1742925998.454983,820.0,86.565,0.0093999999,0.0005710923,0.0089999996,0.0011673039
1742926001.9181278,825.2,87.345,0.0093999999,0.0009945107,0.0057999999,0.0010550361
1742926005.239025,830.2,88.105,0.0066,0.0010965258,0.0035999999,0.0014288514
1742926008.6138916,835.1,88.875,0.0064000003,0.0009864278,0.0066,0.0006829582
1742926012.1548607,840.1,89.635,0.0074,0.0005747243,0.0074,0.001355929
1742926015.5289454,845.1,90.395,0.0096000005,0.0010703641,0.0061999997,0.0011408385
1742926018.9170043,850.0,91.155,0.0060000001,0.0009773668,0.0035999999,0.0012396757
1742926022.3745003,855.1,91.93,0.0066,0.0010098224,0.0080000004,0.0012617499
1742926025.7353354,860.1,92.695,0.0064000003,0.0011350268,0.0037999998,0.0012641684
