time,pmt_high_voltage,pmt_current,v_p2p_ch1,v_rms_ch1,v_p2p_ch2,v_rms_ch2
1742899288.0860317,700.0,67.84,0.0431999974,0.0129849967,0.0544000007,0.0130920196
1742899291.839163,700.0,67.835,0.0463999994,0.0105927764,0.0463999994,0.0107895909
1742899295.3034868,705.0,68.59,0.0416000001,0.0149325347,0.0496000014,0.0110733816
1742899299.4804432,710.1,69.365,0.0471999981,0.0106728589,0.0519999973,0.0112246675
1742899303.2384622,715.1,70.12,0.0567999966,0.0144073339,0.0487999991,0.0114110149
1742899306.4794784,720.0,70.875,0.0472000018,0.0111928703,0.0496000014,0.0121778222
1742899309.7844188,725.0,71.635,0.0504000001,0.0104035866,0.0503999963,0.0125412038
1742899313.163776,730.0,72.39,0.0471999981,0.0114949439,0.0520000011,0.0130948983
1742899316.488515,735.0,73.14,0.0519999973,0.0112844203,0.0544000007,0.011981396
1742899319.6968696,740.0,73.91,0.045599997,0.0117167141,0.0527999997,0.0123294936
1742899322.950505,745.0,74.665,0.0487999991,0.0119023183,0.0504000001,0.0128535619
1742899326.333477,750.0,75.42,0.0487999991,0.0151828965,0.0527999997,0.0123663321
1742899329.5401676,754.9,76.175,0.0456000008,0.0169314872,0.0512000024,0.0128847864
1742899332.9161594,759.9,76.93,0.0463999994,0.0104934024,0.0511999987,0.0106357373
1742899336.2201567,765.0,77.685,0.0504000001,0.0167355686,0.0487999991,0.0109550254
1742899339.5921435,770.1,78.46,0.0504000001,0.014321032,0.0495999977,0.0134573719
1742899342.8921614,775.1,79.215,0.0487999991,0.0167687424,0.0520000011,0.0128212105
1742899346.2201474,780.0,79.97,0.0487999991,0.0126718776,0.0535999984,0.0108253928
1742899349.5210125,785.0,80.725,0.0496000014,0.0169225372,0.0511999987,0.0109836524
1742899352.8012953,790.0,81.475,0.0504000001,0.0168260001,0.0504000001,0.0125767644
1742899356.0887785,795.1,82.25,0.0463999994,0.0110149654,0.0496000014,0.0124764666
1742899359.396346,800.0,83.01,0.0512000024,0.0159743708,0.0520000011,0.0112035666
1742899362.5954785,805.0,83.76,0.0480000004,0.0159563702,0.0527999997,0.0133209536
1742899365.8732495,810.0,84.525,0.0487999991,0.0166787971,0.0503999963,0.0131215155
1742899369.150073,815.0,85.28,0.0480000004,0.010966151,0.0592,0.0105856787
1742899372.534474,820.0,86.035,0.0511999987,0.0170658529,0.0496000014,0.0128952265
1742899376.0079677,825.2,86.81,0.0551999994,0.0167880971,0.0536000021,0.0130290296
1742899379.3282127,830.1,87.565,0.043999996,0.0105241658,0.0544000007,0.0126311621
1742899382.5783925,835.1,88.32,0.0480000004,0.016201837,0.0495999977,0.0127125224
1742899386.0282702,840.1,89.08,0.0423999988,0.016666187,0.0535999984,0.0129407616
1742899389.361392,845.1,89.83,0.0472000018,0.0118726706,0.055999998,0.0109210797
1742899392.7060218,850.0,90.585,0.0472000018,0.0172024965,0.0511999987,0.012252559
1742899395.9772851,855.1,91.355,0.0504000001,0.0147523386,0.0496000014,0.01098054
1742899399.314005,860.1,92.115,0.0439999998,0.0120196678,0.0527999997,0.0124086533
1742899402.749541,865.0,92.87,0.0480000004,0.0161200557,0.0527999997,0.0110579375
1742899406.2032251,870.0,93.63,0.0527999997,0.0165344886,0.055999998,0.0133529995
1742899409.5080233,875.0,94.38,0.0504000001,0.01576267,0.0599999987,0.0117150424
1742899412.813846,879.9,95.14,0.0503999963,0.0162715111,0.0520000011,0.0117445979
1742899416.114219,885.0,95.91,0.0439999998,0.0128415385,0.0568000004,0.011433769
1742899419.4121902,890.0,96.665,0.0479999967,0.0174005721,0.0504000001,0.0138268732
1742899422.7814322,895.0,97.425,0.0447999984,0.0173655134,0.0519999973,0.0110595198
1742899426.1721041,900.1,98.18,0.0472000018,0.0122290524,0.0527999997,0.0130350627
1742899429.375987,905.0,98.935,0.0480000004,0.0106981201,0.0527999997,0.0132879289
1742899432.6279194,910.1,99.71,0.0527999997,0.0170090012,0.0544000007,0.0136553692
1742899435.9157083,915.1,100.47,0.0463999994,0.0157392696,0.0568000004,0.011364297
1742899439.257227,920.1,101.225,0.0480000004,0.0118310312,0.0535999984,0.0131598599
1742899442.58452,925.1,101.99,0.0527999997,0.0108364951,0.0512000024,0.0122717209
1742899445.8489563,930.1,102.74,0.0511999987,0.0169776063,0.0527999997,0.0131873237
1742899449.2431557,935.1,103.505,0.0520000011,0.0143616572,0.0544000007,0.0102222878
1742899452.5533175,940.2,104.275,0.0487999991,0.0127614159,0.055999998,0.013060661
1742899455.8351257,945.1,105.04,0.0535999984,0.0170166381,0.0520000011,0.0116995731
1742899459.037016,950.1,105.795,0.0472000018,0.0171367135,0.0560000017,0.01336799
1742899462.724585,955.1,106.555,0.0520000048,0.0121264085,0.057599999,0.0133386552
1742899466.1580575,960.0,107.305,0.0487999991,0.0168339871,0.0551999994,0.0107185245
1742899469.536267,965.1,108.08,0.0480000004,0.0154946856,0.0504000001,0.0131654795
