,t,V
0,1741855417.7292364,12.5999994278
1,1741855510.4139237,6.8000001907
2,1741855798.9400258,8.8000001907
3,1741855836.7191603,1.0
4,1741856410.164674,11.8000001907
5,1741856504.565934,8.0
6,1741857102.7157342,1.2000000477
7,1741857411.8377373,6.4000000954
8,1741857525.8643818,16.2000007629
9,1741857591.0074036,9.0
10,1741857847.5285475,6.2000002861
11,1741858878.5902987,7.4000000954
12,1741858881.9511442,7.2000002861
13,1741858946.7817414,21.3999996185
14,1741859462.228819,7.0
15,1741859625.1529288,6.4000000954
16,1741859793.3319387,6.8000001907
