,t,V
0,1742383562.7642758,0.2880000174
1,1742383563.2975173,0.6600000262
2,1742383563.8956385,0.3720000386
3,1742383564.4571435,0.4399999976
4,1742383565.0795581,0.4120000005
5,1742383565.6391985,0.3400000334
6,1742383566.2228987,0.5120000243
7,1742383566.7805693,0.3440000117
8,1742383567.3550987,0.3520000279
9,1742383567.9223945,0.3960000277
10,1742383568.512381,0.6360000372
11,1742383569.0695162,0.712000072
12,1742383569.6629014,0.4280000031
13,1742383570.2227888,0.2960000038
14,1742383570.8051448,0.7400000095
15,1742383571.3696818,0.6680000424
16,1742383571.963128,0.4679999948
17,1742383572.5222905,0.5040000081
18,1742383573.147779,0.6520000696
19,1742383573.7032359,0.5960000753
20,1742383574.2938545,0.6360000372
21,1742383574.8408425,0.3160000145
22,1742383575.42967,0.4320000112
23,1742383575.9910119,0.6480000615
24,1742383576.5769043,0.5800000429
25,1742383577.1240747,0.4280000031
26,1742383577.7141354,0.6760000587
27,1742383578.2739968,0.4920000136
28,1742383578.8722422,0.4720000625
29,1742383579.4317503,0.7320000529
30,1742383580.0476243,0.7319999933
31,1742383580.5996933,0.6000000238
32,1742383581.1960013,0.380000025
33,1742383581.7702916,0.4680000246
34,1742383582.364854,0.5360000134
35,1742383582.9196706,0.6120000482
36,1742383583.49266,0.6119999886
37,1742383584.0404491,0.476000011
38,1742383584.6292398,0.5200000405
39,1742383585.1916535,0.3920000196
40,1742383585.7801082,0.6280000806
41,1742383586.3241544,0.6440000534
42,1742383586.9143312,0.4520000517
43,1742383587.4910066,0.4240000546
44,1742383588.0737164,0.7040000558
45,1742383588.636715,0.6920000315
46,1742383589.2302775,0.3400000036
47,1742383589.7846465,0.6600000262
48,1742383590.3972838,0.6160000563
49,1742383590.9568822,0.408000052
50,1742383591.5455368,0.5920000076
51,1742383592.090994,0.6520000696
52,1742383592.6827087,0.4079999924
53,1742383593.2377577,0.6040000319
54,1742383593.8323822,0.6480000019
55,1742383594.3860602,0.5760000348
56,1742383594.9736307,0.3960000575
57,1742383595.5376399,0.4160000384
58,1742383596.132288,0.3400000036
59,1742383596.6695924,0.3760000169
60,1742383597.2638354,0.5960000753
61,1742383597.824512,0.4120000303
62,1742383598.4242926,0.3000000119
63,1742383598.9668236,0.4800000489
64,1742383599.5780997,0.3959999979
65,1742383600.1387358,0.3600000441
66,1742383600.746495,0.484000057
67,1742383601.3087878,0.4640000165
68,1742383601.9149494,0.5880000591
69,1742383602.4745789,0.5760000348
70,1742383603.058886,0.5680000186
71,1742383603.603356,0.6200000644
72,1742383604.195878,0.6880000234
73,1742383604.749801,0.6400000453
74,1742383605.3407316,0.5200000405
75,1742383605.901067,0.5
76,1742383606.499931,0.4440000057
77,1742383607.0592353,0.7000000477
78,1742383607.644842,0.6680000424
79,1742383608.192046,0.5640000701
80,1742383608.77652,0.5120000243
81,1742383609.3261752,0.3440000415
82,1742383609.927406,0.400000006
83,1742383610.4867685,0.6040000319
84,1742383611.0783403,0.45600003
85,1742383611.6195192,0.6560000181
86,1742383612.2123308,0.628000021
87,1742383612.7715328,0.484000057
88,1742383613.3768108,0.5360000134
89,1742383613.9414582,0.6200000048
90,1742383614.5285788,0.3880000114
91,1742383615.0922546,0.6200000048
92,1742383615.677012,0.6439999938
93,1742383616.2412357,0.4160000384
94,1742383616.8327284,0.6640000343
95,1742383617.3913057,0.3640000224
96,1742383617.9817085,0.3920000196
97,1742383618.5406842,0.7000000477
98,1742383619.1297503,0.6680000424
99,1742383619.6895475,0.6440000534
100,1742383620.2785718,0.4320000112
101,1742383620.8434849,0.3480000198
102,1742383621.4498436,0.4520000219
103,1742383621.9858282,0.7800000906
104,1742383622.581963,0.4360000491
105,1742383623.1243389,0.6680000424
106,1742383623.7131784,0.3320000172
107,1742383624.2669404,0.7520000339
108,1742383624.8619003,0.675999999
109,1742383625.4012609,0.5240000486
110,1742383625.9969175,0.5160000324
111,1742383626.5527732,0.4640000165
112,1742383627.1452892,0.3000000119
113,1742383627.6873293,0.7360000014
114,1742383628.284583,0.7000000477
115,1742383628.8228385,0.2760000229
116,1742383629.4154172,0.5040000081
117,1742383629.9736302,0.4720000625
118,1742383630.5841916,0.7400000691
119,1742383631.1430426,0.5240000486
120,1742383631.7316887,0.4800000191
121,1742383632.285352,0.7680000663
122,1742383632.9176078,0.4480000436
123,1742383633.4573236,0.7400000691
124,1742383634.0464287,0.5960000753
125,1742383634.6043136,0.6160000563
126,1742383635.2141685,0.6680000424
127,1742383635.756703,0.5720000863
128,1742383636.349039,0.5199999809
129,1742383636.902502,0.4600000381
130,1742383637.50116,0.3200000226
131,1742383638.037586,0.7000000477
132,1742383638.6302366,0.4400000274
133,1742383639.1878614,0.6320000291
134,1742383639.7787395,0.5640000105
135,1742383640.344019,0.45600003
136,1742383640.9265656,0.6880000234
137,1742383641.4734669,0.3120000362
138,1742383642.0682704,0.2880000174
139,1742383642.6203928,0.4800000191
140,1742383643.210484,0.5560000539
141,1742383643.7636595,0.6040000319
142,1742383644.3493533,0.6680000424
143,1742383644.908413,0.5000000596
144,1742383645.4978642,0.4440000355
145,1742383646.077776,0.6400000453
146,1742383646.6659887,0.6120000482
147,1742383647.2033458,0.476000011
148,1742383647.8033004,0.4480000138
149,1742383648.3604734,0.3920000494
150,1742383648.9491506,0.6240000129
151,1742383649.4890847,0.6360000372
152,1742383650.0824175,0.4880000651
153,1742383650.6438,0.6360000968
154,1742383651.2320979,0.3880000114
155,1742383651.7961838,0.3520000279
156,1742383652.3950942,0.2960000038
157,1742383652.964739,0.8999999762
158,1742383653.5636814,0.3840000033
159,1742383654.122999,0.5480000377
160,1742383654.7129743,0.6960000396
161,1742383655.2732313,0.4640000165
162,1742383655.8616786,0.3360000253
163,1742383656.4109678,0.4640000165
164,1742383656.9954512,0.8000000715
165,1742383657.558445,0.3120000362
166,1742383658.1479242,0.4080000222
167,1742383658.7138042,0.5559999943
168,1742383659.303489,0.6200000644
169,1742383659.8619287,0.5160000324
170,1742383660.4848268,0.6040000319
171,1742383661.0411844,0.4520000219
172,1742383661.632388,0.3400000036
173,1742383662.1789775,0.4000000358
174,1742383662.7683544,0.4079999924
175,1742383663.3279667,0.6040000319
176,1742383663.952361,0.5640000105
177,1742383664.52547,0.4680000246
178,1742383665.101694,0.3400000334
179,1742383665.6445913,0.7280000448
180,1742383666.238593,0.4920000434
181,1742383666.7697837,0.7840000391
182,1742383667.3623111,0.7680000663
183,1742383667.9115891,0.6800000668
184,1742383668.5009289,0.4400000274
185,1742383669.0625536,0.628000021
186,1742383669.648626,0.8200000525
187,1742383670.2140617,0.4000000358
188,1742383670.81746,0.6080000401
189,1742383671.3768625,0.5640000701
190,1742383671.9770432,0.7000000477
191,1742383672.5278897,0.6600000858
192,1742383673.1144955,0.6600000262
193,1742383673.656084,0.4280000329
194,1742383674.28366,0.6840000749
