,t,V
0,1742395572.9333007,0.6440000534
1,1742395573.5060189,0.5480000377
2,1742395574.0523076,0.5720000267
3,1742395574.605217,0.4280000031
4,1742395575.1540568,0.4200000465
5,1742395575.6996272,0.4040000141
6,1742395576.7974057,0.3360000253
7,1742395577.3514647,0.2640000284
8,1742395577.901366,0.5720000267
9,1742395578.4467838,0.2840000093
10,1742395578.9966855,0.7240000367
11,1742395579.556577,0.3000000417
12,1742395580.1060889,0.3280000091
13,1742395580.6559055,0.4200000167
14,1742395581.205102,0.6600000262
15,1742395581.7545476,0.628000021
16,1742395582.3045864,0.584000051
17,1742395582.8536313,0.6920000911
18,1742395583.4054992,0.6440000534
19,1742395583.955678,0.3799999952
20,1742395584.5054028,0.3079999983
21,1742395585.0499392,0.3400000334
22,1742395585.5986302,0.5040000081
23,1742395586.1545558,0.280000031
24,1742395586.7051337,0.6080000401
25,1742395587.2520924,0.5839999914
26,1742395587.8168778,0.3160000145
27,1742395588.3560874,0.4160000384
28,1742395588.903187,0.4120000601
29,1742395589.4458158,0.5920000076
30,1742395590.0042646,0.3520000279
31,1742395590.5498421,0.5479999781
32,1742395591.0996408,0.4680000246
33,1742395591.6512756,0.5560000539
34,1742395592.1892972,0.6080000401
35,1742395592.7374187,0.4680000246
36,1742395593.263804,0.5800000429
37,1742395593.816228,0.5680000186
38,1742395594.3636694,0.65200001
39,1742395594.9178803,0.2840000391
40,1742395595.4703686,0.5640000105
41,1742395596.02326,0.5680000186
42,1742395596.5695045,0.5800000429
43,1742395597.1156325,0.4720000327
44,1742395597.6738122,0.4520000517
45,1742395598.2242913,0.3200000226
46,1742395598.7716444,0.6240000725
47,1742395599.324586,0.356000036
48,1742395599.87441,0.3320000172
49,1742395600.4185128,0.5240000486
50,1742395600.9730213,0.6120000482
51,1742395601.5222912,0.6400000453
52,1742395602.0680633,0.3440000117
53,1742395602.6012266,0.6600000262
54,1742395603.1559753,0.6320000291
55,1742395603.706332,0.3600000441
56,1742395604.2507706,0.6840000153
57,1742395604.8151388,0.6000000238
58,1742395605.3672712,0.4640000165
59,1742395605.9249642,0.4880000055
60,1742395606.4734497,0.3280000389
61,1742395607.0251727,0.5720000267
62,1742395607.5711913,0.4280000627
63,1742395608.123726,0.6000000834
64,1742395608.6713955,0.5799999833
65,1742395609.2165892,0.5400000215
66,1742395609.7832527,0.8280000091
67,1742395610.340724,0.3160000145
68,1742395610.8873518,0.6000000834
69,1742395611.4367607,0.5960000753
70,1742395611.989532,0.3720000386
71,1742395612.5409713,0.3840000331
72,1742395613.0851195,0.6160000563
73,1742395613.6427276,0.4320000112
74,1742395614.192217,0.5879999995
75,1742395614.739687,0.3440000415
76,1742395615.288093,0.3680000305
77,1742395615.8362827,0.3640000224
78,1742395616.3878765,0.4160000384
79,1742395616.9352868,0.6360000372
80,1742395617.488501,0.6240000725
81,1742395618.0177116,0.7040000558
82,1742395618.5660272,0.3760000169
83,1742395619.1220782,0.4560000598
84,1742395619.6747677,0.6840000749
85,1742395620.2242844,0.5960000157
86,1742395620.7735343,0.5640000105
87,1742395621.3216338,0.2960000336
88,1742395621.8744297,0.6960000396
89,1742395622.4179885,0.584000051
90,1742395622.971784,0.4360000491
91,1742395623.523312,0.5920000672
92,1742395624.0673916,0.3359999955
93,1742395624.6432252,0.3640000224
94,1742395625.18782,0.5000000596
95,1742395625.7344825,0.8000000119
96,1742395626.2893753,0.5280000567
97,1742395626.8425987,0.476000011
98,1742395627.3881385,0.6680000424
99,1742395627.9409754,0.6320000887
100,1742395628.487079,0.3519999981
101,1742395629.0588267,0.3000000417
102,1742395629.6035511,0.5120000243
103,1742395630.1546245,0.65200001
104,1742395630.6891787,0.4760000408
105,1742395631.234685,0.3160000145
106,1742395631.7858036,0.6600000262
107,1742395632.3380754,0.5720000267
108,1742395632.8908947,0.584000051
109,1742395633.4346159,0.7440000772
110,1742395633.9861321,0.6080000401
111,1742395634.541152,0.6000000238
112,1742395635.092265,0.65200001
113,1742395635.6378794,0.3080000281
114,1742395636.1847165,0.3720000386
115,1742395636.7428627,0.5200000405
116,1742395637.2878544,0.6200000048
117,1742395637.8407652,0.45600003
118,1742395638.3915203,0.3159999847
119,1742395638.9407961,0.2960000336
120,1742395639.5036085,0.3000000119
121,1742395640.0592556,0.6439999938
122,1742395640.601777,0.432000041
123,1742395641.1595018,0.6920000911
124,1742395641.7057815,0.3960000277
125,1742395642.2582633,0.2760000229
126,1742395642.8046875,0.380000025
127,1742395643.3535285,0.34799999
128,1742395644.4546626,0.408000052
129,1742395645.004308,0.4200000167
130,1742395645.5577922,0.6240000129
131,1742395646.1102257,0.5440000296
132,1742395646.6527884,0.3920000196
133,1742395647.2056272,0.3880000114
134,1742395647.7578115,0.3960000277
135,1742395648.3007498,0.6080000401
136,1742395648.857721,0.6800000072
137,1742395649.4105868,0.3760000467
138,1742395649.9723494,0.8159999847
139,1742395650.5020056,0.5400000215
140,1742395651.0592992,0.5520000458
141,1742395651.610823,0.5480000377
142,1742395652.153721,0.5160000324
143,1742395652.72229,0.6200000644
144,1742395653.2710328,0.5920000076
145,1742395653.826483,0.3320000172
146,1742395654.3691976,0.476000011
147,1742395654.92708,0.3680000305
148,1742395655.4772587,0.30400002
149,1742395656.024381,0.3560000062
150,1742395656.5726798,0.3800000548
151,1742395657.1253953,0.3520000279
152,1742395657.692612,0.3400000334
153,1742395658.2437193,0.3000000119
154,1742395659.3392632,0.2720000148
155,1742395659.8919654,0.4800000191
156,1742395660.4449146,0.5320000648
157,1742395660.9881947,0.4400000572
158,1742395661.5398881,0.7120000124
159,1742395662.0910776,0.5440000296
160,1742395662.6415994,0.6080000401
161,1742395663.1912072,0.5199999809
162,1742395664.3027356,0.4520000219
163,1742395664.855224,0.324000001
164,1742395665.4426675,0.5120000243
165,1742395665.9882379,0.4480000138
166,1742395666.543906,0.3880000114
167,1742395667.0896068,0.5519999862
168,1742395667.6462052,0.2640000284
169,1742395668.1954277,0.3440000117
170,1742395668.7431972,0.3840000331
171,1742395669.8219023,0.6120000482
172,1742395670.375108,0.3760000467
173,1742395670.9232123,0.3759999871
174,1742395671.4797094,0.3360000253
175,1742395672.02575,0.5920000672
176,1742395672.5782418,0.324000001
177,1742395673.1227455,0.3160000443
178,1742395673.674187,0.6200000048
179,1742395674.20635,0.5560000539
180,1742395675.3059442,0.5839999914
181,1742395675.8597152,0.4840000272
182,1742395676.41001,0.6680000424
183,1742395676.9723065,0.3880000412
184,1742395677.503163,0.5960000157
185,1742395678.061072,0.2960000336
186,1742395678.6126883,0.5680000186
187,1742395679.159558,0.3880000412
188,1742395679.7103589,0.3280000091
189,1742395680.2625728,0.4480000138
190,1742395680.8059103,0.2880000174
191,1742395681.3552935,0.3960000277
192,1742395681.9233134,0.8199999928
193,1742395682.455759,0.5200000405
194,1742395683.013879,0.5920000076
195,1742395684.092714,0.4320000112
196,1742395684.6419866,0.324000001
197,1742395685.1915097,0.5800000429
198,1742395685.7379708,0.3240000308
199,1742395686.2944982,0.3880000412
200,1742395686.8629317,0.5480000377
201,1742395687.4062319,0.6000000238
202,1742395687.9547312,0.6040000319
203,1742395688.5106537,0.2840000093
204,1742395689.0633037,0.5560000539
205,1742395690.1614468,0.4520000219
206,1742395690.7066624,0.5400000215
207,1742395691.2570963,0.5320000052
208,1742395691.8093307,0.5960000157
209,1742395692.3565629,0.4440000355
210,1742395692.9083898,0.3880000412
211,1742395693.4622219,0.2760000229
212,1742395694.023248,0.3520000279
213,1742395694.5794232,0.3800000548
214,1742395695.127278,0.5880000591
215,1742395695.6746702,0.4880000055
216,1742395696.230447,0.3120000064
217,1742395696.7802727,0.5720000267
218,1742395697.3308108,0.6600000262
219,1742395697.8782475,0.6840000749
220,1742395698.4207325,0.6960000396
221,1742395698.976598,0.2920000255
222,1742395699.5294259,0.5160000324
223,1742395700.0727856,0.5760000348
224,1742395700.630021,0.5559999943
225,1742395701.174834,0.3439999819
226,1742395701.729919,0.3319999874
227,1742395702.2790587,0.6000000238
228,1742395702.828021,0.4160000086
229,1742395703.9090035,0.6040000319
230,1742395704.4560409,0.3199999928
231,1742395705.0054412,0.3200000226
232,1742395705.5644903,0.4040000141
233,1742395706.1071756,0.6720000505
234,1742395706.6634688,0.4760000408
235,1742395707.2135642,0.5880000591
236,1742395707.765364,0.408000052
237,1742395708.3156292,0.3120000362
238,1742395708.8607867,0.5280000567
239,1742395709.9620829,0.2880000174
240,1742395710.5143168,0.4440000057
241,1742395711.0606322,0.3280000091
242,1742395711.5938377,0.5440000296
243,1742395712.163977,0.6080000401
244,1742395712.705503,0.6200000644
245,1742395713.261259,0.5560000539
246,1742395713.810942,0.4600000083
247,1742395714.3661041,0.5280000567
248,1742395714.9090142,0.5800000429
249,1742395715.4814577,0.5320000648
250,1742395716.0308201,0.5519999862
251,1742395716.5803618,0.3120000362
252,1742395717.1166306,0.2760000229
253,1742395717.6655204,0.4200000465
254,1742395718.7475913,0.5320000052
255,1742395719.2965593,0.4800000191
256,1742395719.844786,0.6360000372
257,1742395720.3924026,0.3160000145
258,1742395720.9416804,0.584000051
259,1742395721.4981487,0.4039999843
260,1742395722.049954,0.4120000303
261,1742395722.5927947,0.4920000434
262,1742395723.1480165,0.476000011
263,1742395723.6962008,0.4920000434
264,1742395724.2440038,0.3160000145
265,1742395724.7762587,0.3280000091
266,1742395725.341952,0.4040000439
267,1742395725.891737,0.5720000267
268,1742395726.4668555,0.4320000112
269,1742395727.0124972,0.3759999871
270,1742395727.5632887,0.5320000052
271,1742395728.1081045,0.4880000353
272,1742395728.6594374,0.2920000255
273,1742395729.2097983,0.4440000355
274,1742395729.7590332,0.5800000429
275,1742395730.3117988,0.5720000267
276,1742395730.864396,0.5920000672
277,1742395731.4173553,0.8560000062
278,1742395731.959847,0.2720000148
279,1742395732.5160182,0.4679999948
280,1742395733.5904427,0.5640000701
281,1742395734.1449256,0.5400000811
282,1742395734.694945,0.6320000887
283,1742395735.2488785,0.4400000572
284,1742395735.7915666,0.3080000281
285,1742395736.3543098,0.8119999766
286,1742395736.89121,0.7960000634
287,1742395737.4453046,0.3079999983
288,1742395737.9950933,0.3440000415
289,1742395738.5420244,0.4880000055
290,1742395739.0943189,0.3760000169
291,1742395739.6426864,0.2800000012
292,1742395740.1996655,0.5720000863
293,1742395740.7420273,0.4800000191
294,1742395741.3000286,0.6000000238
295,1742395741.858134,0.2760000229
296,1742395742.4162507,0.4679999948
297,1742395742.980718,0.3080000281
298,1742395743.5449889,0.6160000563
299,1742395744.0939548,0.5760000348
300,1742395744.64627,0.2640000284
301,1742395745.2153332,0.4920000136
302,1742395745.7651975,0.4079999924
303,1742395746.3345475,0.3160000145
304,1742395746.8804543,0.5880000591
305,1742395747.4326515,0.3160000443
306,1742395747.994622,0.380000025
307,1742395748.5284796,0.4360000193
308,1742395749.0833979,0.6600000858
309,1742395749.6324592,0.3200000226
310,1742395750.1795297,0.584000051
311,1742395750.734276,0.5920000076
312,1742395751.2947536,0.3959999979
313,1742395751.8536873,0.8280000091
314,1742395752.4011307,0.3720000386
315,1742395752.9496915,0.4720000327
316,1742395754.0473661,0.3880000412
317,1742395754.6165903,0.5240000486
318,1742395755.1592789,0.5440000296
319,1742395755.7181902,0.712000072
320,1742395756.2673542,0.5760000348
321,1742395756.8142781,0.3680000007
322,1742395757.3627484,0.6320000291
323,1742395757.915359,0.4440000355
324,1742395758.4665048,0.628000021
325,1742395759.0114164,0.6159999967
326,1742395759.5621736,0.5960000157
327,1742395760.113805,0.6320000291
328,1742395760.6619208,0.30400002
329,1742395761.2149808,0.3799999952
330,1742395761.766022,0.5880000591
331,1742395762.3162181,0.5400000811
332,1742395762.882981,0.4400000274
333,1742395763.4526029,0.5040000677
334,1742395764.011206,0.2880000174
335,1742395764.5621488,0.5760000348
336,1742395765.1099608,0.5560000539
337,1742395765.665777,0.5120000243
338,1742395766.2275264,0.380000025
339,1742395766.779834,0.5080000162
340,1742395767.3270946,0.584000051
341,1742395767.885635,0.6240000129
342,1742395768.428125,0.5
343,1742395768.9776974,0.4120000303
344,1742395769.5373137,0.5879999995
345,1742395770.0837665,0.3080000281
346,1742395770.6323714,0.4040000439
347,1742395771.1848052,0.5240000486
348,1742395771.7345636,0.5
349,1742395772.8267643,0.3640000522
350,1742395773.3763084,0.3000000417
351,1742395773.9311166,0.5160000324
352,1742395774.4616437,0.3280000091
353,1742395775.0170062,0.5360000134
354,1742395775.565839,0.4120000303
355,1742395776.1144614,0.5520000458
356,1742395776.6695495,0.3320000172
357,1742395777.2203693,0.824000001
358,1742395777.7644434,0.7120000124
359,1742395778.337464,0.5839999914
360,1742395778.8814006,0.5480000377
361,1742395779.4318159,0.584000051
362,1742395779.9860098,0.324000001
363,1742395780.537223,0.3160000443
364,1742395781.085016,0.484000057
365,1742395781.6275432,0.6160000563
366,1742395782.179911,0.688000083
367,1742395782.7325733,0.6600000858
368,1742395783.2934864,0.584000051
369,1742395783.851065,0.6400000453
370,1742395784.393911,0.6280000806
371,1742395784.9967966,0.584000051
372,1742395785.568749,0.5160000324
373,1742395786.114715,0.6560000181
374,1742395786.6642067,0.5280000567
375,1742395787.2122078,0.6160000563
376,1742395787.7736716,0.8159999847
377,1742395788.3360972,0.8280000091
378,1742395788.8946402,0.6000000834
379,1742395789.453813,0.5680000186
380,1742395789.9987469,0.584000051
381,1742395790.5462005,0.5960000753
382,1742395791.0979378,0.3960000575
383,1742395791.6531043,0.628000021
384,1742395792.2197669,0.3160000145
385,1742395792.7692223,0.5559999943
386,1742395793.3384745,0.5400000215
387,1742395793.8965056,0.4320000112
388,1742395794.4540083,0.476000011
389,1742395795.0118866,0.5520000458
390,1742395795.5645359,0.4440000355
391,1742395796.1113672,0.3960000277
392,1742395796.667572,0.5240000486
393,1742395797.2038085,0.5400000215
394,1742395797.7526124,0.6920000315
395,1742395798.2951632,0.5760000348
396,1742395798.848091,0.3519999981
397,1742395799.3985372,0.5640000105
398,1742395799.9463646,0.3920000494
399,1742395800.4992113,0.4519999921
400,1742395801.0495813,0.523999989
401,1742395801.5967174,0.4400000274
402,1742395802.1539876,0.5279999971
403,1742395802.7026405,0.2920000255
404,1742395804.3539393,0.4400000274
405,1742395804.9038346,0.3200000226
406,1742395805.455325,0.3760000467
407,1742395806.004624,0.3160000145
408,1742395806.5475872,0.6080000401
409,1742395807.1005144,0.2880000174
410,1742395807.6529431,0.6760000587
411,1742395808.1955779,0.6080000401
412,1742395808.754531,0.3680000007
413,1742395809.3037524,0.5799999833
414,1742395809.8516862,0.6439999938
415,1742395810.406218,0.3400000334
416,1742395810.954725,0.5960000157
417,1742395811.5046186,0.2920000255
418,1742395812.0497725,0.5
419,1742395812.5965748,0.5800000429
420,1742395813.7027512,0.4600000381
421,1742395814.813261,0.8159999847
422,1742395815.3649607,0.4920000136
