,t,V
0,1742481758.5825567,0.4880000651
1,1742481759.162336,0.400000006
2,1742481759.7142344,0.3359999955
3,1742481760.281761,0.3600000441
4,1742481760.8518262,0.4640000463
5,1742481761.4668388,0.3600000441
6,1742481762.0819578,0.2880000174
7,1742481763.2075143,0.2640000284
8,1742481763.7773573,0.3440000415
9,1742481764.3502934,0.3199999928
10,1742481764.9180071,0.3360000253
11,1742481765.4679377,0.3520000279
12,1742481766.0347304,0.3200000226
13,1742481766.5998223,0.3280000091
14,1742481767.162294,0.280000031
15,1742481767.728967,0.3120000362
16,1742481768.296018,0.3440000117
17,1742481768.864193,0.3200000525
18,1742481769.434694,0.3280000389
19,1742481769.9977593,0.280000031
20,1742481770.5462596,0.3280000389
21,1742481771.114617,0.2960000336
22,1742481771.6842873,0.3600000441
23,1742481772.2244346,0.2960000336
24,1742481772.8008525,0.3200000525
25,1742481773.3649547,0.2640000284
26,1742481773.9322948,0.3360000551
27,1742481775.0518227,0.3359999955
28,1742481775.6110146,0.3360000253
29,1742481776.159448,0.3600000441
30,1742481776.7119126,0.4000000358
31,1742481777.2670903,0.2960000336
32,1742481777.8343968,0.3440000415
33,1742481778.3981879,0.3360000253
34,1742481778.9610832,0.2720000446
35,1742481779.5345802,0.2960000336
36,1742481780.1168556,0.2880000174
37,1742481780.685615,0.3039999902
38,1742481781.251938,0.3199999928
39,1742481781.817305,0.30400002
40,1742481782.3841133,0.3360000253
41,1742481782.9682074,0.4960000515
42,1742481783.5332794,0.3120000064
43,1742481784.0985904,1.7600001097
44,1742481784.669049,0.3199999928
45,1742481785.2349887,0.3600000441
46,1742481785.801249,0.2640000284
47,1742481786.362577,0.2880000472
48,1742481786.929347,0.3280000091
49,1742481787.5027838,0.3359999955
50,1742481788.0618522,0.2960000336
51,1742481788.6265612,0.2960000038
52,1742481789.1852267,0.3120000362
53,1742481789.7525039,0.3360000253
54,1742481790.3191621,0.3439999819
55,1742481790.8846445,0.30400002
56,1742481791.4327743,0.2880000174
57,1742481791.997073,0.3280000091
58,1742481792.5662248,0.3760000467
59,1742481793.1362884,0.3199999928
60,1742481793.6958988,0.3520000577
61,1742481794.2695508,0.3520000279
62,1742481794.8350894,0.2720000446
63,1742481795.4013324,0.3360000253
64,1742481795.9686885,0.5360000134
65,1742481796.5363553,0.3440000117
66,1742481797.0999515,0.30400002
67,1742481797.6694674,0.3200000525
68,1742481798.2361548,0.3440000415
69,1742481798.8024793,0.3040000498
70,1742481799.3636677,0.3200000525
71,1742481799.9198337,0.3440000415
72,1742481800.4793267,0.3280000091
73,1742481801.0516837,0.3360000253
74,1742481801.611233,0.3760000467
75,1742481802.1874802,0.3600000143
76,1742481802.746209,0.3120000064
77,1742481803.3131917,0.3440000415
78,1742481804.4487705,0.3760000169
79,1742481804.9970021,0.3280000389
80,1742481805.562884,0.3280000091
81,1742481806.1343837,0.3120000064
82,1742481806.6963184,0.3120000362
83,1742481807.2650156,0.4000000358
84,1742481807.832211,0.2880000174
85,1742481808.400302,0.3280000091
86,1742481808.9686494,0.6480000615
87,1742481809.5150669,0.3680000305
88,1742481810.0812302,0.4560000002
89,1742481810.6462014,0.4000000358
90,1742481811.2213297,0.3360000253
91,1742481811.781313,0.3120000064
92,1742481812.9030473,0.3200000226
93,1742481813.4629927,0.3680000603
94,1742481814.0355823,0.2960000336
95,1742481814.5991528,0.3200000226
96,1742481815.166515,0.3360000253
97,1742481815.7350075,0.3280000389
98,1742481816.2875423,0.3440000117
99,1742481816.830468,0.3120000064
100,1742481817.3943188,0.3600000143
101,1742481817.9632547,0.2880000174
102,1742481818.5342717,0.3280000389
103,1742481819.0989497,0.4960000217
104,1742481819.6685915,0.3360000253
105,1742481820.2364743,0.2960000038
106,1742481820.79678,0.3600000143
107,1742481821.3638885,0.3360000253
108,1742481821.9857888,0.3120000064
109,1742481823.6538725,0.3200000226
110,1742481824.7634418,0.3120000064
111,1742481825.3384378,0.3280000091
112,1742481825.9030952,0.3440000415
113,1742481826.4692092,0.3120000064
114,1742481827.0369174,0.2800000012
115,1742481827.58263,0.3200000226
116,1742481828.146267,0.3520000279
117,1742481828.7167516,0.2960000038
118,1742481829.2838302,0.3440000117
119,1742481829.8547797,0.5120000243
120,1742481830.4130697,0.3920000196
121,1742481830.9866343,0.3359999955
122,1742481831.5542848,0.3280000091
123,1742481832.1198163,0.280000031
124,1742481832.6856034,0.2960000336
125,1742481833.249091,0.3920000494
126,1742481833.8050964,0.3360000253
127,1742481834.363719,0.3840000331
128,1742481834.954449,0.30400002
129,1742481835.5149286,0.4800000489
130,1742481836.0878737,0.3199999928
131,1742481836.6538036,0.3120000362
132,1742481837.220111,0.3120000064
133,1742481837.7640133,0.3680000007
134,1742481838.3300703,0.2960000336
135,1742481838.8993537,0.30400002
136,1742481839.4472249,0.3200000226
137,1742481840.0155811,0.30400002
138,1742481840.5692992,0.3840000331
139,1742481841.664202,0.3120000362
140,1742481842.2357824,0.3520000279
141,1742481842.8057613,0.3760000467
142,1742481843.3713255,0.3200000226
143,1742481843.9353971,0.3360000551
144,1742481844.5004256,0.3280000389
145,1742481845.0638273,0.2880000174
146,1742481845.6323721,0.3360000253
147,1742481846.2030501,0.3200000226
148,1742481846.7688441,0.3359999955
149,1742481847.3366108,0.3360000253
150,1742481848.4548752,0.30400002
151,1742481849.0198736,0.3120000064
152,1742481849.5742486,0.3520000577
153,1742481850.1312394,0.2960000336
154,1742481850.704837,0.30400002
155,1742481851.2476408,0.3280000091
156,1742481851.81984,0.3280000389
157,1742481852.3885617,0.2880000174
158,1742481852.9399917,0.3600000143
159,1742481853.503743,0.3520000577
160,1742481854.0651958,0.2960000336
161,1742481854.638511,0.3360000253
162,1742481855.2058618,0.3360000551
163,1742481855.7646167,0.3280000091
164,1742481856.3318193,0.3680000305
165,1742481856.9062717,0.30400002
166,1742481857.466967,0.3359999955
167,1742481858.0366766,0.3120000362
168,1742481858.596711,0.30400002
169,1742481859.1740737,0.3120000362
170,1742481859.7146192,0.3280000091
171,1742481860.2740643,0.3359999955
172,1742481860.840748,0.3520000279
173,1742481861.405864,0.2800000012
174,1742481861.9705794,0.3519999981
175,1742481862.5331168,0.3440000117
176,1742481863.0998173,0.30400002
177,1742481863.6678884,0.3280000389
178,1742481864.232136,0.30400002
179,1742481864.7995927,0.3120000064
180,1742481865.3717353,0.5760000348
181,1742481865.9150095,0.30400002
182,1742481866.4877594,0.3759999871
183,1742481867.0553565,0.3039999902
184,1742481867.6230361,0.2960000336
185,1742481868.1653478,0.2880000174
186,1742481868.7415442,0.3760000467
187,1742481869.2987063,0.3199999928
188,1742481869.8671057,0.3120000064
189,1742481871.0058205,0.3440000117
190,1742481871.5665743,0.968000114
191,1742481872.1350248,0.3200000226
192,1742481872.6990438,0.3680000305
193,1742481873.2651649,0.5760000348
194,1742481873.8421817,0.3360000551
195,1742481874.4235153,0.3120000362
196,1742481874.982938,0.3280000389
197,1742481875.5333622,0.3200000226
198,1742481876.1020026,0.2960000336
199,1742481876.673326,0.3520000279
200,1742481877.2171493,0.3360000551
201,1742481877.7834406,0.3280000091
202,1742481878.3578386,0.3200000226
203,1742481878.924595,0.3040000498
204,1742481879.4896297,0.3200000525
205,1742481880.0433855,0.3359999955
206,1742481880.604602,0.3600000441
207,1742481881.1716557,0.3120000362
208,1742481881.7349966,0.3200000525
209,1742481882.2998781,0.3600000143
210,1742481882.867737,0.3120000064
211,1742481883.4339256,0.5040000081
212,1742481884.0013783,0.3280000389
213,1742481884.5745797,0.3760000467
214,1742481885.1255138,0.3120000064
215,1742481886.2435966,0.3359999955
216,1742481886.7838984,0.3600000441
217,1742481887.353782,0.3359999955
218,1742481887.9227679,0.30400002
219,1742481889.0505,0.2800000012
220,1742481889.6188188,0.3360000253
221,1742481890.1718557,0.3600000441
222,1742481890.739099,0.3120000362
223,1742481891.856365,0.3840000331
224,1742481892.4239252,0.3120000064
225,1742481892.968703,0.3600000143
226,1742481893.5428772,0.3519999981
227,1742481894.1014516,0.3120000362
228,1742481894.6766894,0.2880000174
229,1742481895.7935946,0.3520000279
230,1742481896.3506725,0.3280000389
231,1742481896.919587,0.280000031
232,1742481897.4836862,0.3040000498
233,1742481898.0566452,0.3440000117
234,1742481898.6230738,0.3200000525
235,1742481899.1733656,0.3600000441
236,1742481899.7342708,0.3519999981
237,1742481900.3041925,0.3600000143
238,1742481900.8757155,0.30400002
239,1742481901.4400117,0.3040000498
240,1742481901.990976,0.3039999902
241,1742481902.559795,0.3200000226
242,1742481903.1256833,0.6000000238
243,1742481903.6740036,0.2960000336
244,1742481904.23774,0.3200000226
245,1742481904.8090858,0.3200000525
246,1742481905.36847,0.3200000226
247,1742481905.9370558,0.2880000174
248,1742481906.491305,0.3039999902
249,1742481907.060186,0.3600000143
250,1742481907.6264777,0.3360000253
251,1742481908.1925285,0.3440000117
252,1742481908.758089,0.3120000362
253,1742481909.3277948,0.2960000336
254,1742481909.9057336,0.2880000174
255,1742481910.4740915,0.3440000117
256,1742481911.0345385,0.2960000038
257,1742481911.5946405,0.3600000143
258,1742481912.134657,0.3440000117
259,1742481912.7055175,0.2960000336
260,1742481913.2732935,0.3120000362
261,1742481913.843569,0.2960000336
262,1742481914.95334,0.3280000389
263,1742481915.5086482,0.3600000441
264,1742481916.0729725,0.3120000064
265,1742481916.6364636,0.3200000226
266,1742481917.203928,0.3680000305
267,1742481917.7756073,0.3520000577
268,1742481918.3379161,0.8400000334
269,1742481918.892188,0.280000031
270,1742481919.4587631,0.3760000169
271,1742481920.0235293,0.2880000174
272,1742481920.590058,0.3359999955
273,1742481921.158947,0.3199999928
274,1742481921.7251654,0.4080000222
275,1742481922.2927344,0.3280000389
276,1742481922.8570013,0.3120000362
277,1742481923.4032786,0.3200000525
278,1742481923.9719908,0.3120000362
279,1742481924.5425713,0.3440000415
280,1742481925.0936387,0.3200000226
281,1742481925.6439207,0.3360000551
282,1742481926.2115653,0.3280000389
283,1742481926.777687,0.3200000226
284,1742481927.3408906,0.3440000415
285,1742481927.9064784,0.30400002
286,1742481928.4731898,0.3360000551
287,1742481929.0388074,0.3600000441
288,1742481929.6070673,0.6000000238
289,1742481930.1730702,0.30400002
290,1742481930.7371254,0.3760000169
291,1742481931.3119516,0.3200000226
292,1742481931.8785455,0.3680000305
293,1742481932.4440727,0.3039999902
294,1742481933.010011,0.3360000551
295,1742481933.5698903,0.3360000253
296,1742481934.1463437,0.3440000117
297,1742481934.7084823,0.3120000064
298,1742481935.2737136,0.3200000226
299,1742481935.8445835,0.3199999928
300,1742481936.3957944,0.2880000174
301,1742481936.9539425,0.2880000472
302,1742481937.524079,0.2960000336
303,1742481938.0883584,0.536000073
304,1742481938.6622126,0.3200000226
305,1742481939.2209857,0.4320000112
306,1742481939.7741654,0.2880000174
307,1742481940.340562,0.30400002
308,1742481940.9061942,0.3280000091
309,1742481941.4703119,0.3520000577
310,1742481942.0884118,0.3199999928
311,1742481943.7934577,0.3120000064
312,1742481944.3615189,0.3439999819
313,1742481944.927199,0.3120000064
314,1742481945.4931498,0.3760000169
315,1742481946.0590482,0.8160000443
316,1742481946.626198,0.4800000489
317,1742481947.195755,0.3440000117
318,1742481947.7468688,0.4000000656
319,1742481948.3071647,0.30400002
320,1742481948.8734624,0.3680000305
321,1742481949.4432218,0.3440000415
322,1742481949.9945939,0.2960000336
323,1742481950.5525272,0.280000031
324,1742481951.128975,0.3600000143
325,1742481951.693066,0.4640000165
326,1742481952.2611275,0.2880000174
327,1742481952.8271275,0.3520000279
328,1742481953.9588408,0.3200000525
329,1742481954.5044124,0.3360000551
330,1742481955.0734923,0.3039999902
331,1742481955.6385357,0.3120000064
332,1742481956.2041554,0.2960000336
333,1742481956.773807,0.4000000656
334,1742481957.3455117,0.3120000362
335,1742481957.9124284,0.2960000038
336,1742481958.4791043,0.2960000336
337,1742481959.0447378,0.3440000117
338,1742481959.6090024,0.30400002
339,1742481960.1817157,0.2960000336
340,1742481960.7470007,0.3120000064
341,1742481961.3057957,0.2800000012
342,1742481961.8721735,0.3280000389
343,1742481962.4416442,0.3039999902
344,1742481963.0100305,0.4240000248
345,1742481963.5796974,0.2960000336
346,1742481964.1478336,0.3200000226
347,1742481964.6984468,0.2960000038
348,1742481965.2580426,0.3040000498
349,1742481965.8262753,0.3120000064
350,1742481966.3904169,0.3280000389
351,1742481966.9640732,0.3360000253
352,1742481967.5261421,0.2960000336
353,1742481968.0782433,0.30400002
354,1742481968.6466136,0.3360000253
355,1742481969.205443,0.3840000331
356,1742481969.778681,0.3440000117
357,1742481970.3457808,0.3359999955
358,1742481970.8915262,0.3600000441
359,1742481971.439951,0.30400002
360,1742481972.0086257,0.3440000415
361,1742481972.5773919,0.3359999955
362,1742481973.1467376,0.3120000362
363,1742481973.7056444,0.3440000117
364,1742481974.2717953,0.3520000279
365,1742481974.8395402,0.280000031
366,1742481975.4146957,0.3199999928
367,1742481975.9752812,0.2960000336
368,1742481976.5421128,0.3120000362
369,1742481977.110359,0.3360000253
370,1742481978.2238083,0.3600000441
371,1742481978.7981007,0.2960000038
372,1742481979.361554,0.3200000525
373,1742481979.9313295,0.3120000064
374,1742481980.4989264,0.3120000362
375,1742481981.0629423,0.3360000253
376,1742481981.6253731,0.3280000389
377,1742481982.1949637,0.2880000174
378,1742481983.3063028,0.3600000441
379,1742481983.8747506,0.3680000007
380,1742481984.4439766,0.3600000441
381,1742481985.0133393,0.2960000336
382,1742481985.5817196,0.3359999955
383,1742481986.1464815,0.3200000226
384,1742481986.7147596,0.3760000467
385,1742481987.2821145,0.2960000336
386,1742481987.840651,0.3440000415
387,1742481988.4105198,0.3359999955
388,1742481988.974346,0.3680000305
389,1742481989.5419216,0.280000031
390,1742481990.109071,0.30400002
391,1742481990.6836295,0.3120000362
392,1742481991.8127089,0.3439999819
393,1742481992.376901,0.3360000253
394,1742481992.9478598,0.3280000389
395,1742481993.5138643,0.3359999955
396,1742481994.0820577,0.3120000362
397,1742481994.6246006,0.280000031
398,1742481995.1958394,0.3359999955
399,1742481995.7648547,0.4560000002
400,1742481996.3256576,0.3440000415
401,1742481996.8943248,0.3600000441
402,1742481997.4643013,0.3920000494
403,1742481998.015857,0.3040000498
404,1742481998.5833118,0.3120000064
405,1742481999.1496506,0.2960000336
406,1742481999.7168663,0.3360000253
407,1742482000.2752259,0.3200000525
408,1742482000.843301,0.3360000551
409,1742482001.4092457,0.2880000174
410,1742482002.5776303,0.6320000887
411,1742482003.1319427,0.3600000143
412,1742482003.69203,0.280000031
413,1742482004.2656596,0.3440000117
414,1742482004.847051,0.3760000467
415,1742482005.4117408,0.30400002
416,1742482005.9838843,0.3440000415
417,1742482006.5430052,0.3359999955
418,1742482007.683677,0.3440000117
419,1742482008.250308,0.3440000415
420,1742482008.8092444,0.3199999928
421,1742482009.3794436,0.3280000389
422,1742482009.930698,0.5839999914
423,1742482010.4996724,0.3920000196
424,1742482011.067248,0.3440000415
425,1742482011.6336687,0.3120000064
426,1742482012.1998925,0.30400002
427,1742482013.3273454,0.2960000336
428,1742482013.8826156,0.30400002
429,1742482014.4486647,0.3440000117
430,1742482015.0179598,0.3440000415
431,1742482015.5754268,0.2880000174
432,1742482016.1596034,0.3520000279
433,1742482016.7346978,0.3600000441
434,1742482017.2986548,0.3280000091
435,1742482017.8640146,0.3600000441
436,1742482018.4313846,0.3120000362
437,1742482018.9856598,0.3520000577
438,1742482019.546081,0.30400002
439,1742482020.1114676,0.3360000253
440,1742482020.674863,0.30400002
441,1742482021.2488117,0.536000073
442,1742482021.7994294,0.3600000441
443,1742482022.358805,0.3040000498
444,1742482022.9342558,0.2880000174
445,1742482023.4949815,0.3200000226
446,1742482024.065541,0.2960000336
447,1742482024.6333349,0.3199999928
448,1742482025.1758366,0.3280000091
449,1742482025.7463205,0.3199999928
450,1742482026.886346,0.3280000389
451,1742482027.446971,0.3200000525
452,1742482028.0108411,0.3120000064
453,1742482028.5778542,0.3200000525
454,1742482029.1498783,0.2960000038
455,1742482029.7148688,0.3200000525
456,1742482030.2785664,0.3280000389
457,1742482030.8471506,0.2880000174
458,1742482031.3985012,0.3280000389
459,1742482031.9532962,0.3359999955
460,1742482032.5123074,0.2960000336
461,1742482033.0763092,0.2720000148
462,1742482033.6456993,0.2960000336
463,1742482034.2164984,0.3200000226
464,1742482034.796631,0.3440000415
465,1742482035.3635662,0.3120000064
466,1742482035.9135518,0.30400002
467,1742482036.4783654,0.3280000091
468,1742482037.0457888,0.3120000362
469,1742482037.6129358,0.3280000091
470,1742482038.1639667,0.3040000498
471,1742482038.7359052,0.3360000551
472,1742482039.295346,0.2960000336
473,1742482039.8633554,0.3280000091
474,1742482040.4261842,0.3360000253
475,1742482041.0000865,0.3199999928
476,1742482041.566511,0.2960000038
477,1742482042.115899,0.408000052
478,1742482042.6600432,0.6160000563
479,1742482043.2347035,0.4000000358
480,1742482043.7803261,0.3120000064
481,1742482044.33627,0.3760000467
482,1742482044.917667,0.2880000472
483,1742482045.478493,0.30400002
484,1742482046.043507,0.3680000305
485,1742482046.6107376,0.3680000007
486,1742482047.1793706,0.3200000525
487,1742482047.7513416,0.3280000389
488,1742482048.294517,0.3200000525
489,1742482048.8636508,0.3520000577
490,1742482049.4348044,0.3200000226
491,1742482049.9876401,0.2720000148
492,1742482050.5511246,0.3680000007
493,1742482051.1132886,0.3760000169
494,1742482051.6815135,0.3200000226
495,1742482052.2471917,0.3439999819
496,1742482052.820391,0.3600000441
497,1742482053.379616,0.3200000226
498,1742482053.9505026,0.3120000362
499,1742482054.515658,0.3360000551
500,1742482055.0827203,0.30400002
501,1742482055.6344595,0.5200000405
502,1742482056.1970534,0.3519999981
503,1742482056.7653453,0.3200000525
504,1742482057.8644712,0.280000031
505,1742482058.4162316,0.5360000134
506,1742482058.987227,0.3120000362
507,1742482059.5524971,0.3120000064
508,1742482060.1155245,0.3840000331
509,1742482060.6858206,0.3680000305
510,1742482061.8181822,1.6960000992
511,1742482062.3811164,0.3440000117
512,1742482062.9463065,0.3600000143
513,1742482063.521941,0.3520000279
514,1742482064.085124,0.2880000174
515,1742482064.6657722,1.7600001097
516,1742482065.23298,0.2640000284
517,1742482065.8003628,0.3120000362
518,1742482066.3872309,0.3519999981
519,1742482066.952102,0.3280000091
520,1742482067.5356472,0.2960000336
521,1742482068.0989828,0.2560000122
522,1742482068.6644697,0.2720000148
523,1742482069.23799,0.3120000362
524,1742482069.7953637,0.3280000091
525,1742482070.3636227,0.3200000226
526,1742482070.9338288,0.30400002
527,1742482071.5038388,0.3120000064
528,1742482072.0688264,0.3600000441
529,1742482072.6376777,0.3520000279
530,1742482073.1831777,0.3040000498
531,1742482073.7476635,0.30400002
532,1742482074.3157184,0.3120000362
533,1742482074.871707,0.3280000091
534,1742482076.014021,0.3440000117
535,1742482076.5826821,0.3200000525
536,1742482077.1383367,0.3760000169
537,1742482077.7017484,0.2880000472
538,1742482078.2686987,0.2960000336
539,1742482078.8369865,0.3600000441
540,1742482079.3994863,0.408000052
541,1742482079.9693217,0.3439999819
542,1742482080.5206404,0.3039999902
543,1742482081.0627863,0.280000031
544,1742482081.6356552,0.2880000174
545,1742482082.186817,0.4000000358
546,1742482082.7542834,0.3199999928
547,1742482083.320883,0.3600000143
548,1742482084.419856,0.3280000091
549,1742482084.9786043,0.30400002
550,1742482085.5558012,0.3520000577
551,1742482086.1217945,0.30400002
552,1742482086.6856356,0.2880000174
553,1742482087.2560122,0.3199999928
554,1742482088.3998072,0.2720000148
555,1742482088.970196,0.2880000174
556,1742482089.5355008,0.3120000064
557,1742482090.672085,0.3439999819
558,1742482091.2361147,0.3760000169
559,1742482091.8197732,0.3120000064
560,1742482092.386655,0.4800000191
561,1742482092.954728,0.2880000174
562,1742482093.5145738,0.3440000415
563,1742482094.0866249,0.3600000441
564,1742482094.6563892,0.3120000064
565,1742482095.2144902,0.3760000467
566,1742482095.7831347,0.3440000415
567,1742482096.3504903,0.3600000441
568,1742482096.9229858,0.30400002
569,1742482097.4898615,0.3359999955
570,1742482098.0492294,0.3040000498
571,1742482099.1732447,0.3200000226
572,1742482099.7386198,0.3120000064
573,1742482100.302186,0.2800000012
574,1742482100.871588,0.3680000305
575,1742482101.4406962,0.3520000279
576,1742482102.0232494,0.2960000336
577,1742482103.138289,0.280000031
578,1742482103.6820664,0.2880000472
579,1742482104.2505374,0.2960000038
580,1742482104.820895,0.3360000253
581,1742482105.381897,0.3840000331
582,1742482105.9538763,0.3520000279
583,1742482106.516255,0.3520000577
584,1742482107.6483445,0.3200000226
585,1742482108.2232454,0.3199999928
586,1742482108.7856789,0.30400002
587,1742482109.3547795,0.2960000336
588,1742482109.9177701,0.3280000091
589,1742482110.4650185,0.3520000279
590,1742482111.026908,1.728000164
591,1742482111.6069522,0.3440000415
592,1742482112.1648965,0.3600000143
593,1742482113.298802,0.3120000064
594,1742482113.8722975,0.280000031
595,1742482114.4378047,0.3840000033
596,1742482115.0030267,0.3600000441
597,1742482115.5481856,0.3280000091
598,1742482116.141532,0.3440000415
599,1742482116.7007666,0.3120000064
600,1742482117.2665558,0.3519999981
601,1742482117.8397958,0.4480000436
602,1742482118.404211,0.3200000226
603,1742482118.9732347,0.3519999981
604,1742482119.5157912,0.3120000064
605,1742482120.0913494,0.3280000389
606,1742482120.6421432,0.2880000174
607,1742482121.2068093,0.3440000117
608,1742482121.7720892,0.5120000243
609,1742482122.3353326,0.3199999928
610,1742482122.8992598,0.3440000415
611,1742482123.4731338,0.3120000064
612,1742482124.0365279,0.3520000279
613,1742482124.6065578,0.3360000253
614,1742482125.1724062,0.2960000038
615,1742482125.7425861,0.3440000415
616,1742482126.3093698,0.3519999981
617,1742482127.4213858,0.3760000467
618,1742482127.9743323,0.3359999955
619,1742482128.537999,0.3360000253
620,1742482129.1023204,0.30400002
621,1742482129.6663198,0.3440000415
622,1742482130.2399437,0.30400002
623,1742482130.799239,0.3440000117
624,1742482131.3710475,0.280000031
625,1742482131.9355457,0.30400002
626,1742482132.5025892,0.3520000279
627,1742482133.0697677,0.3200000226
628,1742482133.6365025,0.2960000336
629,1742482134.2012117,0.3440000415
630,1742482134.7917137,0.3200000226
631,1742482135.3588352,0.3760000467
632,1742482135.917521,0.3440000415
633,1742482136.490765,0.2960000336
634,1742482137.0575595,0.3360000253
635,1742482137.6208239,0.3120000362
636,1742482138.1718318,0.3200000525
