,t,V
0,1742487041.6738281,0.3680000305
1,1742487042.3065023,0.256000042
2,1742487042.8615077,0.2400000095
3,1742487043.4711628,0.2560000122
4,1742487044.0269508,0.2880000174
5,1742487044.6376925,0.3280000389
6,1742487045.2297409,0.2720000446
7,1742487045.817188,0.3760000169
8,1742487046.3774147,0.5760000348
9,1742487046.988801,0.2160000205
10,1742487047.5456386,0.2640000284
11,1742487048.152425,0.2320000082
12,1742487048.7079115,0.5200000405
13,1742487049.3037126,0.6079999804
14,1742487049.8958023,0.2560000122
15,1742487050.5366473,0.3200000525
16,1742487051.0949864,0.256000042
17,1742487051.6668694,0.3520000279
18,1742487052.2297554,0.3440000117
19,1742487052.847882,0.2880000472
20,1742487053.4066703,0.2720000148
21,1742487054.0201337,0.2320000231
22,1742487054.5735095,0.3200000226
23,1742487055.1817095,0.2720000148
24,1742487055.7600439,0.3520000279
25,1742487056.3703196,0.2720000446
26,1742487056.9296482,0.280000031
27,1742487057.5362165,0.256000042
28,1742487058.0965521,0.2800000012
29,1742487058.6978111,0.30400002
30,1742487059.2647138,0.4160000682
31,1742487059.8722067,0.2560000122
32,1742487061.053505,0.2400000244
33,1742487061.614581,0.2480000257
34,1742487062.2233717,0.2640000284
35,1742487062.7811928,0.2080000192
36,1742487063.4067957,0.4160000086
37,1742487063.9649565,0.3920000494
38,1742487065.1265988,0.2960000336
39,1742487065.740347,0.3600000441
40,1742487066.3132424,0.2880000174
41,1742487066.913411,0.3600000441
42,1742487067.4805396,0.2399999946
43,1742487068.1064515,0.2640000284
44,1742487068.6610322,0.45600003
45,1742487069.2716796,0.2160000205
46,1742487069.8266356,0.3359999955
47,1742487070.4412115,0.2879999876
48,1742487071.0148168,0.2320000082
49,1742487071.6235101,0.2480000257
50,1742487072.1963673,0.2480000108
51,1742487072.8021486,0.2880000174
52,1742487073.3658342,0.2320000231
53,1742487073.9706607,0.2160000056
54,1742487074.5487003,0.3280000091
55,1742487075.148124,0.2320000231
56,1742487075.715205,0.2720000446
57,1742487076.3254156,0.2720000148
58,1742487076.8920848,0.2880000174
59,1742487077.5034125,0.2720000446
60,1742487078.065928,0.4960000217
61,1742487078.6742175,0.2240000218
62,1742487079.2325637,0.4399999976
63,1742487079.8331168,0.45600003
64,1742487080.4082563,0.5120000243
65,1742487081.0192738,0.2000000179
66,1742487081.5791006,0.2480000257
67,1742487082.1922982,0.4960000515
68,1742487082.746734,0.2560000122
69,1742487083.9158945,0.2960000038
70,1742487084.4997191,0.6080000401
71,1742487085.07757,0.2080000192
72,1742487085.7057743,0.2240000069
73,1742487086.261843,0.2160000205
74,1742487086.8741207,0.2240000218
75,1742487087.431472,0.2480000257
76,1742487088.0543363,0.2560000122
77,1742487089.2019224,0.2480000108
78,1742487090.3553798,0.3280000091
79,1742487090.916222,0.2320000082
80,1742487091.5102494,0.3360000253
81,1742487092.067232,0.3760000467
82,1742487092.6994207,0.256000042
83,1742487093.283306,0.2240000069
84,1742487093.8716154,0.3360000253
85,1742487094.4444761,0.3280000389
86,1742487095.0586753,0.5040000081
87,1742487095.6300216,0.4320000112
88,1742487096.2383802,0.2400000095
89,1742487096.8079424,0.3920000494
90,1742487097.4233499,0.30400002
91,1742487097.974571,0.2880000174
92,1742487098.5924137,0.2320000082
93,1742487099.1666384,0.3120000064
94,1742487099.772649,0.3680000305
95,1742487100.3253765,0.2400000244
96,1742487100.9385183,0.2400000095
97,1742487101.5104728,0.280000031
98,1742487102.1229317,0.2160000205
99,1742487102.6829157,0.3360000253
