,t,V
0,1742543416.7422721,0.2560000122
1,1742543419.5809586,0.2319999933
2,1742543420.1634326,0.2400000244
3,1742543420.7126706,0.280000031
4,1742543421.8523414,0.2560000122
5,1742543425.2278397,0.2160000205
6,1742543425.813854,0.2480000108
7,1742543426.3620515,0.4720000625
8,1742543426.9445496,0.45600003
9,1742543428.6188443,0.2160000205
10,1742543430.327191,0.423999995
11,1742543430.8867316,0.4080000222
12,1742543431.4547951,0.400000006
13,1742543432.5934255,0.2399999946
14,1742543433.1531177,0.3280000091
15,1742543434.2838085,0.2400000095
16,1742543435.4143808,0.3680000305
17,1742543437.1279,0.2319999933
18,1742543438.8307023,0.7840000391
19,1742543440.522939,0.5839999914
20,1742543442.7597845,0.4399999976
21,1742543443.3330128,0.2640000284
22,1742543445.0320387,0.423999995
23,1742543445.588306,0.2479999959
24,1742543446.1580229,0.3360000253
25,1742543446.7536097,0.3840000331
26,1742543447.3147295,0.5280000567
27,1742543448.4255807,0.4320000112
28,1742543448.9982963,0.3359999955
29,1742543449.5812085,0.584000051
30,1742543450.7159655,0.5680000186
31,1742543451.2715106,0.3840000331
32,1742543452.371178,1.2000000477
33,1742543452.9501064,0.6399999857
34,1742543453.5028095,0.6480000615
35,1742543454.0818396,0.6800000072
36,1742543454.6379871,0.4240000248
37,1742543455.1994233,0.3200000226
38,1742543455.7692726,0.30400002
39,1742543456.3423574,0.2960000038
40,1742543456.904143,0.2880000174
41,1742543457.46688,0.2639999986
42,1742543458.0339775,0.4560000598
43,1742543459.1622913,0.3440000117
44,1742543459.7307715,0.3359999955
45,1742543460.2836227,0.2639999986
46,1742543460.8664768,0.2320000082
47,1742543462.0005605,1.2640000582
48,1742543463.1473427,0.3840000331
49,1742543464.834212,0.2560000122
50,1742543465.4078033,0.4240000546
51,1742543468.1994984,0.3520000279
52,1742543468.7854848,0.2399999946
53,1742543469.913644,0.2960000336
54,1742543471.0261896,0.2240000069
55,1742543471.5829725,0.2000000179
56,1742543472.167157,0.4720000327
57,1742543472.7301018,0.2480000108
58,1742543473.3262708,1.7920001745
59,1742543473.9014814,0.30400002
60,1742543475.0366228,0.2880000174
61,1742543476.135707,0.3840000033
62,1742543477.2636836,1.7840001583
63,1742543478.979476,0.3360000253
64,1742543479.5509033,0.2800000012
65,1742543480.6863062,0.3600000143
66,1742543481.2471244,0.3440000117
67,1742543481.8049507,0.5040000677
68,1742543482.3775256,0.4240000248
69,1742543482.9534557,0.2319999933
70,1742543483.563071,0.3280000091
71,1742543485.2318966,0.6960000396
72,1742543486.3713121,0.5520000458
73,1742543486.9321225,0.2160000205
74,1742543487.4844131,0.4720000327
75,1742543488.069357,0.2639999986
76,1742543488.6256444,0.6159999967
77,1742543489.7510028,0.2880000174
78,1742543490.3337002,0.4080000222
79,1742543490.891542,0.5920000076
80,1742543491.4522336,0.2880000174
81,1742543492.0014002,0.560000062
82,1742543493.12166,0.6080000401
83,1742543494.2566884,0.2160000205
84,1742543494.8113346,0.4960000217
85,1742543495.9355154,0.2800000012
86,1742543496.5035367,0.6640000343
87,1742543497.636739,0.3200000226
88,1742543498.7756786,0.5279999971
89,1742543499.3483708,0.2880000174
90,1742543499.9223444,0.3760000467
91,1742543500.4835904,0.200000003
92,1742543501.036465,0.6080000401
93,1742543501.614431,0.2320000082
94,1742543502.1745949,0.4720000327
95,1742543502.7497313,0.6160000563
96,1742543503.2999284,0.6960000396
97,1742543503.862739,0.2320000082
98,1742543504.9910772,0.8720000386
99,1742543505.5373604,0.5279999971
100,1742543507.284755,0.3120000064
101,1742543507.8373792,0.2560000122
102,1742543508.417046,0.3359999955
103,1742543508.9757047,0.2560000122
104,1742543509.5514433,0.2880000174
105,1742543510.1007822,0.2320000082
106,1742543510.6859746,0.2240000069
107,1742543511.2434049,0.4960000217
108,1742543512.368048,0.3280000091
109,1742543512.9540448,0.5199999809
110,1742543513.5251799,0.712000072
111,1742543514.0952976,0.5200000405
112,1742543516.8720682,0.2720000148
113,1742543517.4546778,0.5360000134
114,1742543518.0069785,0.5600000024
115,1742543519.116301,0.2960000038
116,1742543519.6882732,0.2400000095
117,1742543520.2543836,0.584000051
118,1742543522.5080311,0.223999992
119,1742543523.0699625,0.4400000274
120,1742543523.642728,0.2960000336
121,1742543524.2182279,0.5440000296
122,1742543524.7676811,0.3920000494
123,1742543525.3541167,0.2400000095
124,1742543527.0217988,0.2480000108
125,1742543527.584588,0.4800000191
126,1742543528.7136495,0.4880000353
127,1742543529.2883024,0.5839999914
128,1742543529.872704,0.2639999986
129,1742543530.4380057,0.5040000081
130,1742543531.0220938,0.4480000436
131,1742543532.149363,0.2720000148
132,1742543532.7203267,0.2240000069
133,1742543533.283748,0.2560000122
134,1742543534.4155529,0.688000083
135,1742543535.5345354,0.3840000033
136,1742543536.0900214,0.2640000284
137,1742543536.6693006,1.168000102
138,1742543537.2419477,0.3760000169
139,1742543538.3772943,0.5200000405
140,1742543538.956239,0.3440000117
141,1742543539.518352,0.2800000012
142,1742543540.1010256,0.4240000248
143,1742543541.2217197,0.45600003
144,1742543541.789167,0.2160000056
145,1742543542.3679113,0.3360000253
146,1742543542.9276295,0.3440000117
147,1742543543.490955,0.4959999919
148,1742543544.058332,0.3440000117
149,1742543544.6357827,0.5680000782
150,1742543545.2094948,0.2319999933
151,1742543545.8523598,0.4320000112
152,1742543546.4025729,0.2880000174
153,1742543547.544672,0.3120000064
154,1742543548.6733246,0.5520000458
155,1742543549.2558892,0.3760000169
156,1742543549.8083944,0.2640000284
157,1742543550.3819063,0.2399999946
158,1742543550.9434204,0.2720000148
159,1742543551.5029254,0.2800000012
160,1742543552.0796976,1.7840001583
161,1742543552.6551077,0.400000006
162,1742543553.2042737,0.30400002
163,1742543554.3448553,0.2480000108
164,1742543555.4755068,0.3280000091
165,1742543556.0565684,0.4320000112
166,1742543556.6092992,0.2479999959
167,1742543558.877738,0.2880000174
168,1742543559.4554863,0.2320000231
169,1742543560.006186,0.2399999946
170,1742543560.5912018,0.4799999893
171,1742543561.1405897,0.3120000362
172,1742543561.715907,0.5200000405
173,1742543562.8577225,0.280000031
174,1742543564.0532885,0.3120000362
175,1742543565.1858122,0.4640000463
176,1742543565.7458513,0.3759999871
177,1742543567.501889,0.4399999976
178,1742543568.0611334,0.5360000134
179,1742543568.6422138,0.3360000253
180,1742543569.2059798,0.3120000362
181,1742543569.7883155,0.6399999857
182,1742543570.3558147,0.2320000082
183,1742543572.0373585,0.5280000567
184,1742543572.604619,0.30400002
185,1742543573.1744306,0.5360000134
186,1742543573.7461407,0.45600003
187,1742543574.3033376,0.2880000174
188,1742543574.8799887,0.5520000458
189,1742543575.4510276,0.3840000033
190,1742543576.0049088,0.5920000672
191,1742543576.590931,0.4080000222
192,1742543577.7347603,0.2480000257
193,1742543579.4096255,0.6080000401
194,1742543579.98848,0.4720000029
195,1742543583.368191,0.5279999971
196,1742543584.5033233,1.7920001745
197,1742543586.2068837,0.4399999976
198,1742543586.769233,0.3200000226
199,1742543587.32866,0.2240000069
200,1742543587.8918533,0.4160000384
201,1742543588.4472828,0.2639999986
202,1742543589.555819,0.7920000553
203,1742543590.6908438,0.3360000253
204,1742543591.2738664,0.2080000043
205,1742543592.402301,0.6560000181
206,1742543596.3753166,0.3359999955
207,1742543596.9630027,0.2640000284
208,1742543597.5120006,0.2560000122
209,1742543598.0750184,0.4960000217
210,1742543600.398233,0.30400002
211,1742543602.0752451,0.2160000205
212,1742543603.1919937,0.2560000122
213,1742543603.7703881,0.9760000706
214,1742543604.3230598,0.3680000007
215,1742543604.9014764,0.2720000148
216,1742543605.4615383,0.6000000238
217,1742543606.0387452,0.2160000205
218,1742543606.594681,0.4880000055
219,1742543607.1594582,0.5279999971
220,1742543607.7105026,0.5040000677
221,1742543608.2943733,0.4160000086
222,1742543609.425633,0.5440000296
223,1742543610.5412848,0.2320000082
224,1742543611.1135128,0.4800000489
225,1742543611.6726232,0.6080000401
226,1742543612.2321222,0.3200000226
227,1742543613.3578136,0.4800000489
228,1742543614.493095,0.5920000076
229,1742543615.075522,0.3759999871
230,1742543615.6245372,0.2720000148
231,1742543616.2042546,0.2080000043
232,1742543616.7753468,0.5120000243
233,1742543617.3610141,0.2240000218
234,1742543617.916401,0.2160000056
235,1742543620.1580975,0.2480000108
236,1742543620.8010874,0.2240000069
237,1742543621.3638296,0.5199999809
238,1742543621.9463267,0.3520000279
239,1742543622.512188,0.2960000336
240,1742543623.62779,0.3840000331
241,1742543624.2104332,0.2080000043
242,1742543624.7593586,0.2640000284
243,1742543625.3444924,0.432000041
244,1742543628.1447756,0.3360000253
245,1742543628.7276301,0.2640000284
246,1742543630.4184563,0.2160000205
247,1742543630.9883358,0.2880000174
248,1742543631.5606434,0.3359999955
249,1742543633.2575204,0.2880000174
250,1742543633.8355782,0.5280000567
251,1742543634.4125974,0.2400000095
252,1742543634.9654307,1.0320000648
253,1742543635.5536227,1.7920001745
254,1742543636.1440938,1.8000001907
255,1742543636.7094297,0.2480000108
256,1742543638.3924356,0.3200000226
257,1742543638.956999,1.1119999886
258,1742543639.5330381,0.5440000296
259,1742543640.1120584,0.5680000186
260,1742543640.665856,0.3680000305
261,1742543641.2217176,0.3680000007
262,1742543641.785098,0.3600000441
263,1742543642.359051,0.4720000327
264,1742543644.6089504,0.2080000043
265,1742543645.7985282,0.2399999946
266,1742543646.363723,0.6800000072
267,1742543646.9346516,0.3280000091
268,1742543648.632086,0.2080000192
269,1742543649.2231987,1.7920001745
270,1742543649.781834,0.2560000122
271,1742543650.338434,0.584000051
272,1742543650.8956268,0.2560000122
273,1742543651.473332,0.5760000348
274,1742543652.0466733,0.423999995
275,1742543653.1849926,0.2160000205
276,1742543654.3104525,0.4880000055
277,1742543655.4520793,0.3760000467
278,1742543657.6950736,0.3520000279
279,1742543658.284223,0.3840000331
280,1742543658.8475351,0.5040000677
281,1742543659.4873338,0.4160000086
282,1742543660.0462003,0.2560000122
283,1742543661.1614563,0.4720000327
284,1742543661.743873,0.536000073
285,1742543662.3170547,0.5520000458
286,1742543662.8990407,0.3840000331
287,1742543664.0075035,0.4560000002
288,1742543664.5830948,0.5760000348
289,1742543665.696601,0.2560000122
290,1742543666.2745757,0.2160000056
291,1742543666.8532248,0.2400000095
292,1742543667.4291725,0.2560000122
293,1742543668.002276,0.5120000243
294,1742543668.5769348,0.3599999845
295,1742543670.269564,0.3840000331
296,1742543670.828726,0.6160000563
297,1742543671.397992,0.4240000546
298,1742543671.9808128,0.2479999959
299,1742543673.1116312,0.3280000091
300,1742543673.6822972,0.2480000108
301,1742543674.2405362,0.4160000086
302,1742543674.8030093,0.2480000108
303,1742543675.3825781,0.5760000348
304,1742543675.9385166,0.3919999897
305,1742543676.5108194,0.280000031
306,1742543677.0869255,0.2080000043
307,1742543677.6637409,0.2560000122
308,1742543678.2214627,0.2639999986
309,1742543678.794867,0.30400002
310,1742543680.4882777,0.5360000134
311,1742543681.0618358,0.3840000331
312,1742543682.2068093,0.2000000179
313,1742543683.8866751,0.5680000782
314,1742543684.4437585,1.6320000887
315,1742543685.002692,0.30400002
316,1742543686.136245,0.2479999959
317,1742543686.7661648,0.4240000248
318,1742543688.43432,0.2400000095
319,1742543690.1424317,0.2240000069
320,1742543690.7024436,0.4080000222
321,1742543691.2813327,0.6080000401
322,1742543691.853778,0.4480000436
323,1742543692.4296787,0.2639999986
324,1742543692.982826,0.2160000205
325,1742543693.5580142,0.3760000169
326,1742543694.1383865,0.3280000091
327,1742543694.762917,0.400000006
328,1742543695.3224742,0.2160000205
329,1742543695.9081497,0.4560000002
330,1742543696.4676976,0.2480000108
331,1742543697.0471308,0.4160000384
332,1742543697.5997357,0.5199999809
333,1742543698.7352264,0.4720000327
334,1742543699.3127944,0.2400000095
335,1742543701.5654702,0.5680000782
336,1742543702.1318557,0.2399999946
337,1742543704.380594,0.5520000458
338,1742543706.648581,0.5040000081
339,1742543708.3661437,0.5600000024
340,1742543708.9146953,0.2400000095
341,1742543709.4843717,0.2320000231
342,1742543711.1733046,0.5199999809
343,1742543711.727776,0.2400000244
344,1742543712.3024888,0.4640000165
345,1742543712.8687153,0.2560000122
346,1742543713.9774394,0.4720000327
347,1742543714.5538306,0.2319999933
348,1742543715.132425,0.3120000362
349,1742543715.7024627,0.5120000243
350,1742543716.8567407,0.3520000279
351,1742543717.4282525,0.3840000033
352,1742543718.5622506,0.5279999971
353,1742543719.6791542,0.3599999845
354,1742543720.2562296,0.4160000086
355,1742543720.828811,0.584000051
356,1742543721.4057848,0.30400002
357,1742543723.1158037,0.4160000384
358,1742543723.6866012,0.6560000181
359,1742543724.2481847,0.2720000148
360,1742543725.9255404,0.3920000494
361,1742543726.4958665,0.2720000148
362,1742543727.6406972,0.3599999845
363,1742543728.2023954,0.3760000169
364,1742543729.3346293,0.5120000243
365,1742543730.470487,0.3759999871
366,1742543731.048864,0.4480000436
367,1742543731.601542,0.2640000284
368,1742543732.18696,0.2479999959
369,1742543732.736374,0.2880000174
370,1742543733.8751454,0.3440000117
371,1742543734.434821,0.3120000064
372,1742543734.987332,0.2160000056
373,1742543736.1262972,0.2479999959
374,1742543737.2575135,0.6560000181
375,1742543737.839634,0.5440000296
376,1742543738.402169,1.8080000877
377,1742543738.9860582,0.6400000453
378,1742543739.5377488,0.2000000179
379,1742543740.1145182,0.1920000166
380,1742543740.6861982,0.2399999946
381,1742543741.8012319,0.423999995
382,1742543742.3638613,0.6800000668
383,1742543743.4993622,0.2319999933
384,1742543744.6204302,0.2400000095
385,1742543746.2883074,0.3520000279
386,1742543746.86233,0.2560000122
387,1742543747.4265218,0.2400000095
388,1742543748.5525293,0.3840000331
389,1742543749.684752,0.6240000129
390,1742543750.8260124,0.2160000056
391,1742543751.3988266,0.408000052
392,1742543751.9581056,0.3520000279
393,1742543752.514091,0.2639999986
394,1742543753.6380916,0.2240000069
395,1742543754.2047179,0.3359999955
396,1742543754.7803438,0.3840000033
397,1742543755.3733673,0.3120000064
398,1742543755.9517012,0.7599999905
399,1742543757.1681585,0.4480000138
400,1742543757.7371523,0.3200000226
401,1742543758.3096938,0.3680000007
402,1742543759.444057,0.3760000169
403,1742543760.0074723,0.4080000222
404,1742543761.1087046,0.2400000095
405,1742543761.6715982,0.5760000348
406,1742543763.3616645,0.2400000095
407,1742543764.477964,0.4959999919
408,1742543765.6063871,0.2160000205
409,1742543766.1559622,0.5440000296
410,1742543766.7252223,0.2319999933
411,1742543768.3898585,0.2399999946
412,1742543768.958866,0.2479999959
413,1742543769.5207834,0.3680000007
414,1742543770.62616,0.4720000327
415,1742543771.1688664,0.432000041
416,1742543771.7444572,0.280000031
417,1742543772.294289,0.5440000296
418,1742543772.856559,0.2319999933
419,1742543773.422587,0.2160000205
420,1742543773.9861643,0.5040000677
421,1742543774.5577464,0.5199999809
422,1742543775.676498,0.3280000389
423,1742543776.242668,0.4720000029
424,1742543777.360894,0.3280000389
425,1742543777.9114437,0.6320000291
426,1742543778.4764585,0.6480000019
427,1742543779.0462618,0.2639999986
428,1742543779.6041408,0.6240000129
429,1742543780.1737325,1.3440001011
430,1742543780.7415948,0.4959999919
431,1742543781.3026712,0.5440000296
432,1742543782.420256,0.5920000672
433,1742543782.9865024,0.2160000056
434,1742543784.0884612,0.2320000231
435,1742543784.658716,0.4480000138
436,1742543785.7958705,0.2160000205
437,1742543786.9045167,0.2720000148
438,1742543787.4707184,0.6640000343
439,1742543788.5956485,0.560000062
440,1742543789.707504,0.30400002
441,1742543790.2634823,0.3760000169
442,1742543791.3961864,0.2800000012
443,1742543791.9615674,0.4880000055
444,1742543792.5240226,0.4560000598
445,1742543793.0938675,0.5680000186
446,1742543794.2219355,0.2240000069
447,1742543794.798078,0.3359999955
448,1742543795.3619297,0.3440000117
449,1742543795.9092267,0.2800000012
450,1742543796.4757648,0.3919999897
451,1742543798.16466,0.3599999845
452,1742543799.8244839,0.2639999986
453,1742543800.3970356,0.4560000598
454,1742543800.9467876,0.2160000056
455,1742543802.0626917,0.2479999959
456,1742543802.6129525,0.3599999845
457,1742543803.1766512,0.4960000217
458,1742543804.3056011,0.5680000186
459,1742543805.4223702,0.6240000725
460,1742543805.9933388,0.2720000148
461,1742543806.5896597,0.3120000362
462,1742543807.1610816,0.5360000134
463,1742543808.279851,0.423999995
464,1742543808.8607635,0.2080000043
465,1742543809.413723,0.5200000405
466,1742543810.547013,0.4480000138
467,1742543811.1061695,0.6640000343
468,1742543811.6756868,0.6480000615
469,1742543812.2413907,0.6240000725
470,1742543812.7943034,0.3200000226
471,1742543813.3735638,1.7840001583
