,t,V
0,1741966305.8023772,0.0159999989
1,1741966306.3722153,0.0175999999
2,1741966306.9186225,0.0131999999
3,1741966307.4685686,0.0109999999
4,1741966308.0238101,0.019199999
5,1741966309.1263926,0.0269999988
6,1741966309.6751282,0.0169999991
7,1741966310.2269168,0.0255999994
8,1741966310.7778091,0.0237999987
9,1741966311.3201094,0.0284000002
10,1741966311.8727221,0.0131999999
11,1741966312.435033,0.0121999998
12,1741966312.9846315,0.0221999995
13,1741966313.549934,0.0436000004
14,1741966314.6771197,0.0167999994
15,1741966315.2241292,0.0177999996
16,1741966315.7725108,0.0179999992
17,1741966316.3223398,0.0143999998
18,1741966316.8731184,0.0377999991
19,1741966317.4210625,0.0126
20,1741966317.9706728,0.0162000004
21,1741966318.51912,0.0126
22,1741966319.0717893,0.0167999994
23,1741966320.1874573,0.0366000012
24,1741966320.7365582,0.0175999999
25,1741966321.83691,0.0167999994
26,1741966322.4104483,0.0169999991
27,1741966322.961203,0.0165999997
28,1741966323.510201,0.0164000001
29,1741966324.061152,0.0177999996
30,1741966324.6109235,0.0169999991
31,1741966325.1602387,0.0146000003
32,1741966325.7265482,0.0115999999
33,1741966326.276096,0.0169999991
34,1741966326.825778,0.0121999998
35,1741966327.9233305,0.0135999992
36,1741966328.4768977,0.0146000003
37,1741966329.0220835,0.019199999
38,1741966329.5574052,0.0149999997
39,1741966330.1054578,0.0148
40,1741966330.6382504,0.0146000003
41,1741966331.1852257,0.0182000007
42,1741966331.745851,0.0121999998
43,1741966332.2856817,0.0189999994
44,1741966332.8372202,0.0181999989
45,1741966333.9604633,0.0177999996
46,1741966334.4866996,0.0155999996
47,1741966335.037995,0.019199999
48,1741966335.590395,0.0129999993
49,1741966336.1380825,0.0140000004
50,1741966336.6946578,0.0121999998
51,1741966337.2450168,0.0131999999
52,1741966337.7942336,0.0152000003
53,1741966338.3452883,0.0175999999
54,1741966338.892635,0.0187999997
55,1741966339.4263394,0.0167999994
56,1741966339.977222,0.0172000006
57,1741966340.5292585,0.0127999997
58,1741966341.076719,0.0143999998
59,1741966341.625369,0.0187999997
60,1741966342.1720014,0.0357999988
61,1741966342.729867,0.0165999997
62,1741966343.8238385,0.0131999999
63,1741966344.369445,0.0175999999
64,1741966344.9278672,0.0170000009
65,1741966345.4778442,0.0182000007
66,1741966346.0278447,0.0179999992
67,1741966346.592671,0.0189999994
68,1741966347.6961477,0.0177999996
69,1741966348.7956247,0.0159999989
70,1741966349.3620641,0.0165999997
71,1741966349.9120243,0.0436000004
72,1741966350.4773388,0.0164000001
73,1741966351.077343,0.0126
74,1741966351.625746,0.0197999999
75,1741966352.1796029,0.0169999991
76,1741966352.7307503,0.0157999992
77,1741966353.280899,0.0153999999
78,1741966353.8268008,0.0180000011
79,1741966354.3721797,0.0170000009
80,1741966354.925332,0.0127999997
81,1741966355.4711988,0.0209999997
82,1741966356.0294816,0.0165999997
83,1741966356.5696495,0.0142000001
84,1741966357.1288502,0.0179999992
85,1741966357.6782248,0.015399999
86,1741966358.2280128,0.0114000002
87,1741966358.776937,0.0179999992
88,1741966359.327179,0.0199999996
89,1741966359.8864157,0.0118000004
90,1741966360.4417617,0.0192000009
91,1741966360.9962327,0.0142000001
92,1741966361.545798,0.0172000006
93,1741966362.095389,0.0187999997
94,1741966362.6454747,0.0194000006
95,1741966363.1947725,0.0181999989
96,1741966363.743185,0.019199999
97,1741966364.8419435,0.0361999981
98,1741966365.390967,0.0171999987
99,1741966365.9402452,0.0162000004
100,1741966366.4900122,0.0133999996
101,1741966367.0482328,0.0131999999
102,1741966368.1395273,0.0129999993
103,1741966368.6868885,0.0196000002
104,1741966369.829517,0.0141999992
105,1741966370.3786964,0.0167999994
106,1741966370.9401917,0.0436000004
107,1741966371.4937313,0.0182000007
108,1741966372.0423481,0.0186000001
109,1741966372.5980306,0.0151999993
110,1741966373.145085,0.0174000002
111,1741966373.6964333,0.0130000003
112,1741966374.2464018,0.0302000009
113,1741966374.7914798,0.0175999999
114,1741966375.34849,0.0131999999
115,1741966375.8944974,0.0223999992
116,1741966376.4426477,0.0167999994
117,1741966376.9929109,0.0141999992
118,1741966378.0903554,0.0381999984
119,1741966378.6305299,0.0187999997
120,1741966379.1761482,0.0201999992
121,1741966379.7292461,0.0179999992
122,1741966380.840331,0.0164000001
123,1741966381.413659,0.0167999994
124,1741966381.962602,0.0326000005
125,1741966382.512453,0.0177999996
126,1741966383.0611355,0.0169999991
127,1741966383.613515,0.0137999998
128,1741966384.1596773,0.0120000001
129,1741966384.7150016,0.0167999994
130,1741966385.2646506,0.0133999996
131,1741966385.81483,0.0121999998
132,1741966386.3627627,0.0177999996
133,1741966386.9300468,0.0160000008
134,1741966388.0318706,0.0175999999
135,1741966388.5799458,0.0202000011
136,1741966389.1270828,0.0187999997
137,1741966390.229847,0.0123999994
138,1741966390.792003,0.0165999997
139,1741966391.3422718,0.0130000003
140,1741966391.8998575,0.0175999999
141,1741966392.4498694,0.0137999998
142,1741966393.014129,0.0192000009
143,1741966393.560838,0.0167999994
144,1741966395.1988387,0.0115999999
145,1741966395.7472808,0.0160000008
146,1741966396.3020167,0.0439999998
147,1741966396.8484154,0.0172000006
148,1741966397.9499552,0.0165999997
149,1741966398.5146992,0.0177999996
150,1741966399.0631492,0.0153999999
151,1741966399.6132736,0.0159999989
152,1741966400.162609,0.0187999997
153,1741966400.715081,0.0130000003
154,1741966401.2617111,0.0137999998
155,1741966401.8117924,0.0177999996
156,1741966402.3592756,0.0164000001
157,1741966402.9184797,0.0438000001
158,1741966403.4843583,0.0175999999
159,1741966404.577986,0.0143999998
160,1741966405.132854,0.0124000004
161,1741966405.6836193,0.0157999992
162,1741966406.2411737,0.0172000006
163,1741966407.346686,0.0117999995
164,1741966407.8950644,0.0184000004
165,1741966408.4472587,0.023599999
166,1741966409.0008273,0.0121999998
167,1741966409.550097,0.0175999999
168,1741966410.0990818,0.0115999999
169,1741966410.647762,0.0148
170,1741966411.247782,0.0114000002
171,1741966411.7962325,0.0179999992
172,1741966412.3452466,0.0137999998
173,1741966412.8952525,0.0143999998
174,1741966413.4448264,0.019199999
175,1741966413.993346,0.0186000001
176,1741966414.5431936,0.0123999994
177,1741966415.0942452,0.0179999992
178,1741966416.1914587,0.0164000001
179,1741966416.7665677,0.0145999994
180,1741966417.3326626,0.0169999991
181,1741966417.8983905,0.0172000006
182,1741966418.4477637,0.0131999999
183,1741966418.999321,0.0186000001
184,1741966419.5483959,0.0187999997
185,1741966420.6501606,0.0118000004
186,1741966421.200028,0.0169999991
187,1741966421.749827,0.0124000004
188,1741966422.298922,0.0311999992
189,1741966422.8491325,0.0165999997
190,1741966423.3985908,0.0170000009
191,1741966423.9476411,0.0181999989
192,1741966424.4959803,0.0243999995
193,1741966425.0460823,0.0167999994
194,1741966425.599163,0.0159999989
195,1741966426.1441495,0.0175999999
196,1741966426.6929011,0.0226000007
197,1741966427.250853,0.0164000001
198,1741966428.3470142,0.0165999997
199,1741966428.9164155,0.0177999996
200,1741966429.4617023,0.0192000009
201,1741966430.0146036,0.0155999996
