,t,V
0,1741970948.1849916,0.0299999993
1,1741970948.806245,0.0159999989
2,1741970949.3616798,0.0152000003
3,1741970949.9538105,0.0231999978
4,1741970950.4958143,0.0151999993
5,1741970951.075441,0.0299999993
6,1741970951.6294608,0.021999998
7,1741970952.2568014,0.0148
8,1741970952.8009386,0.0224000011
9,1741970953.3890445,0.0184000004
10,1741970953.9488356,0.0171999987
11,1741970954.5419862,0.0167999994
12,1741970955.097557,0.0208000001
13,1741970955.668907,0.0223999992
14,1741970956.2175589,0.0348000005
15,1741970956.7783623,0.0160000008
16,1741970957.333491,0.0184000004
17,1741970957.9505062,0.0155999996
18,1741970958.5023386,0.0483999997
19,1741970959.074775,0.0315999985
20,1741970959.6357474,0.0155999996
21,1741970960.1964657,0.0152000003
22,1741970960.7464955,0.021999998
23,1741970961.3732576,0.019199999
24,1741970961.9323363,0.0247999988
25,1741970962.5260136,0.0159999989
26,1741970963.0601733,0.0152000003
27,1741970963.6584094,0.0260000005
28,1741970964.2091,0.0148
29,1741970964.823915,0.023599999
30,1741970965.3680625,0.0211999994
31,1741970965.9560652,0.0247999988
32,1741970966.4997895,0.0307999998
33,1741970967.0920105,0.0227999985
34,1741970967.6365175,0.0155999996
35,1741970968.2195566,0.0148
36,1741970968.769984,0.0143999998
37,1741970969.3365405,0.0216000006
38,1741970969.9028714,0.0311999992
39,1741970970.4624233,0.0255999994
40,1741970971.0181854,0.0228000004
41,1741970971.6916437,0.0255999994
42,1741970972.2315466,0.0148
43,1741970972.826827,0.0164000001
44,1741970973.3868656,0.0159999989
45,1741970973.958691,0.0231999997
46,1741970974.495002,0.0152000003
47,1741970975.1267345,0.0299999993
48,1741970975.667903,0.0148
49,1741970976.2593126,0.0155999996
50,1741970976.8185005,0.0152000003
51,1741970977.4106083,0.0243999977
52,1741970977.952445,0.0331999995
53,1741970978.5227358,0.0211999994
54,1741970979.0712168,0.0155999996
55,1741970979.6320217,0.0152000003
56,1741970980.1867666,0.0203999989
57,1741970980.8037817,0.0152000003
58,1741970981.3684025,0.0143999998
59,1741970981.9392877,0.027999999
60,1741970982.48431,0.0284000002
61,1741970983.1086392,0.0152000003
62,1741970983.6653726,0.027999999
63,1741970984.2604973,0.0175999999
64,1741970984.7985363,0.0311999992
65,1741970985.3939934,0.0167999994
66,1741970985.946996,0.0304000005
67,1741970986.5450337,0.0151999993
68,1741970987.6942337,0.0231999978
69,1741970988.24778,0.0304000005
70,1741970988.8266232,0.019199999
71,1741970989.379554,0.0175999999
72,1741970989.9409142,0.0147999991
73,1741970990.5048597,0.0155999996
74,1741970991.122335,0.0159999989
75,1741970991.6709137,0.0247999988
76,1741970992.241921,0.0171999987
77,1741970992.7876608,0.0155999996
78,1741970993.35248,0.0159999989
79,1741970993.9032135,0.0284000002
80,1741970994.461122,0.0272000004
81,1741970995.0041866,0.019199999
82,1741970995.6364713,0.0259999987
83,1741970996.186578,0.0167999994
84,1741970996.7594888,0.0159999989
85,1741970997.313688,0.0152000003
86,1741970997.9250858,0.0155999996
87,1741970998.4829125,0.0315999985
88,1741970999.0724533,0.0148
89,1741970999.6378522,0.0152000003
90,1741971000.226663,0.0252
91,1741971000.7868946,0.0159999989
92,1741971001.371931,0.0855999961
93,1741971001.9300077,0.0151999993
94,1741971002.5586846,0.0323999971
95,1741971003.1009693,0.0243999995
96,1741971003.6936088,0.0328000002
97,1741971004.2378917,0.0211999994
98,1741971004.8044434,0.0324000008
99,1741971005.3542492,0.0167999994
100,1741971005.9192069,0.0164000001
101,1741971006.4685323,0.0272000004
102,1741971007.0142395,0.0240000002
103,1741971007.5562432,0.0151999993
104,1741971008.1786752,0.0179999992
105,1741971008.7385712,0.0331999995
106,1741971009.3361359,0.0855999961
107,1741971009.886571,0.0164000001
108,1741971010.4735477,0.0148
109,1741971011.0370483,0.0159999989
110,1741971012.1861358,0.0287999995
111,1741971012.794986,0.0140000004
112,1741971013.3534207,0.0164000001
113,1741971013.946369,0.051599998
114,1741971014.487443,0.0259999987
115,1741971015.076891,0.0151999993
116,1741971015.6230276,0.0143999998
117,1741971016.2112844,0.0260000005
118,1741971016.7557719,0.0164000001
119,1741971017.3378098,0.0307999998
120,1741971017.887617,0.0155999996
121,1741971019.0033147,0.0151999993
122,1741971019.5703034,0.0307999998
123,1741971020.1175268,0.0148
