,t,V
0,1741977002.0484357,0.013199999
1,1741977002.588385,0.0306000002
2,1741977003.1713097,0.0204000007
3,1741977003.7374802,0.0322000012
4,1741977004.330074,0.0142000001
5,1741977004.8885722,0.0328000002
6,1741977005.4779801,0.0204000007
7,1741977006.0208352,0.0277999993
8,1741977006.6096654,0.0149999997
9,1741977007.1652427,0.0194000006
10,1741977007.7648249,0.0271999985
11,1741977008.303023,0.0289999992
12,1741977008.897433,0.0233999994
13,1741977009.4554625,0.0226000007
14,1741977010.044374,0.0247999988
15,1741977010.5909855,0.0328000002
16,1741977011.180883,0.0262000002
17,1741977011.7242405,0.0216000006
18,1741977012.2912505,0.0274
19,1741977012.8417864,0.0289999992
20,1741977013.4568923,0.0209999997
21,1741977014.0252664,0.0311999992
22,1741977014.6116414,0.0320000015
23,1741977015.154453,0.0311999992
24,1741977015.7413108,0.0289999992
25,1741977016.292113,0.0307999998
26,1741977016.880641,0.0274
27,1741977017.4425595,0.0221999995
28,1741977018.060677,0.0219999999
29,1741977018.6177917,0.0250000004
30,1741977019.2092702,0.0255999994
31,1741977019.7589395,0.0317999981
32,1741977020.3487432,0.0319999978
33,1741977020.890412,0.0201999992
34,1741977021.4793835,0.0146000003
35,1741977022.0379303,0.0313999988
36,1741977022.6338484,0.0149999997
37,1741977023.1841252,0.0208000001
38,1741977023.7798498,0.0296
39,1741977024.324949,0.0350000001
40,1741977024.8912292,0.0287999995
41,1741977025.4425797,0.0124000004
42,1741977026.0582619,0.0296
43,1741977026.6060796,0.0133999996
44,1741977027.1932263,0.0267999992
45,1741977027.7388256,0.0306000002
46,1741977028.3142545,0.0329999998
47,1741977028.8538284,0.0177999996
48,1741977029.4456003,0.0223999992
49,1741977029.9861522,0.0118000004
50,1741977030.584931,0.0155999996
51,1741977031.126841,0.0259999987
52,1741977031.7053473,0.0241999999
53,1741977032.2609048,0.0225999989
54,1741977032.8810406,0.0270000007
55,1741977033.4416637,0.0274
56,1741977034.029806,0.0216000006
57,1741977034.585305,0.0243999995
58,1741977035.1847749,0.0274
59,1741977035.7265058,0.0281999987
60,1741977036.342897,0.0133999996
61,1741977036.8933327,0.0160000008
62,1741977037.465421,0.0317999981
63,1741977038.0082493,0.0395999998
64,1741977038.6349366,0.0179999992
65,1741977039.1899638,0.0241999999
66,1741977039.7658238,0.0181999989
67,1741977040.3052442,0.0313999988
68,1741977040.9140198,0.0287999995
