,t,V
0,1742209503.837608,0.0277999993
1,1742209504.950374,0.0341999978
2,1742209505.5173175,0.0383999981
3,1742209506.0730078,0.0305999983
4,1742209506.640587,0.0224000011
5,1742209507.1804023,0.0274
6,1742209507.7353506,0.0339999981
7,1742209508.307509,0.0157999992
8,1742209508.8548336,0.0194000006
9,1742209509.3946059,0.0427999981
10,1742209509.951969,0.0218000002
11,1742209510.5156727,0.0382000022
12,1742209511.07414,0.0281999987
13,1742209511.6388407,0.0145999994
14,1742209512.1818676,0.015399999
15,1742209512.7274358,0.0441999957
16,1742209513.2921584,0.0149999997
17,1742209513.8576474,0.0145999994
18,1742209514.4710746,0.0289999992
19,1742209515.0203147,0.0273999982
20,1742209515.5881805,0.0346000008
21,1742209516.1327288,0.0377999991
22,1742209516.6857839,0.0383999981
23,1742209517.2543106,0.0169999991
24,1742209517.8037617,0.023
25,1742209518.9023688,0.0321999975
26,1742209519.468043,0.0348000005
27,1742209520.0198095,0.0205999985
28,1742209520.563634,0.0208000001
29,1742209521.1241806,0.0219999999
30,1742209521.6687396,0.0265999995
31,1742209522.2348053,0.0303999986
32,1742209523.3397572,0.0164000001
33,1742209523.886854,0.0333999991
34,1742209524.4349551,0.028599998
35,1742209525.0079756,0.0189999994
36,1742209525.56865,0.0255999994
37,1742209526.1404068,0.0341999978
38,1742209526.708347,0.0209999997
39,1742209527.254076,0.0339999981
40,1742209527.8207276,0.0321999975
41,1742209528.3698573,0.0195999984
42,1742209528.9193199,0.0325999968
43,1742209529.467978,0.0319999978
44,1742209530.0376642,0.0262000002
45,1742209530.603546,0.0331999995
46,1742209531.1562235,0.0309999995
47,1742209531.7048607,0.025799999
48,1742209532.2693808,0.0218000002
49,1742209532.8238971,0.021399999
50,1742209533.3882647,0.0148
51,1742209533.94001,0.0321999975
52,1742209534.5016654,0.0275999997
53,1742209535.057847,0.0355999991
54,1742209535.5994718,0.0197999999
55,1742209536.1691537,0.0347999968
56,1742209536.73481,0.019199999
57,1742209537.3042874,0.0145999994
58,1742209537.8671033,0.0243999995
59,1742209538.4381359,0.0362000018
