,t,V
0,1742213886.996334,0.0207999982
1,1742213887.562315,0.0156000005
2,1742213888.1244774,0.0187999997
3,1742213888.6955824,0.0206000004
4,1742213889.2428863,0.0157999992
5,1742213889.796705,0.0197999999
6,1742213890.364022,0.0162000004
7,1742213890.9291084,0.0192000009
8,1742213891.4796343,0.0142000001
9,1742213892.0461538,0.0199999996
10,1742213892.5970788,0.0163999982
11,1742213893.142459,0.0209999997
12,1742213893.7138371,0.0187999997
13,1742213894.2951233,0.0218000002
14,1742213894.9120336,0.0189999994
15,1742213895.477953,0.0143999998
16,1742213896.0305798,0.0197999999
17,1742213896.5792215,0.021399999
18,1742213897.1473095,0.0162000004
19,1742213897.71368,0.0193999987
20,1742213898.2800496,0.0217999984
21,1742213898.8392951,0.0437999964
22,1742213899.3941808,0.0208000001
23,1742213899.9423056,0.0201999992
24,1742213900.491855,0.0206000004
25,1742213901.061044,0.0182000007
26,1742213901.6084518,0.0202000011
27,1742213902.1630883,0.0196000002
28,1742213902.7157505,0.0171999987
29,1742213903.2758994,0.015399999
30,1742213903.8448372,0.019799998
31,1742213904.3970573,0.0197999999
32,1742213904.9563215,0.0211999994
33,1742213906.0806468,0.0229999982
34,1742213906.6239605,0.019799998
35,1742213907.1905463,0.0181999989
36,1742213907.7646563,0.0187999997
37,1742213908.3309135,0.0223999992
38,1742213908.8795567,0.0196000002
39,1742213909.4312391,0.0167999994
40,1742213909.9742584,0.0223999992
41,1742213910.5293894,0.0160000008
42,1742213911.077418,0.0219999999
43,1742213911.6473026,0.0181999989
44,1742213912.183123,0.0141999992
45,1742213912.742005,0.0206000004
46,1742213913.315421,0.0151999993
47,1742213913.8753548,0.0155999996
48,1742213914.4438503,0.0223999992
49,1742213915.0000155,0.0203999989
50,1742213915.5483558,0.0201999992
51,1742213916.0942633,0.0185999982
52,1742213916.6623702,0.0171999987
53,1742213917.2317815,0.0167999994
54,1742213917.7809775,0.0443999954
55,1742213918.3496413,0.0157999992
56,1742213918.9155977,0.0175999999
57,1742213919.4816577,0.0181999989
58,1742213920.0423872,0.0192000009
59,1742213920.611819,0.0195999984
60,1742213921.1614428,0.0208000001
61,1742213921.7283614,0.0211999994
62,1742213922.2914736,0.0179999992
63,1742213922.8493505,0.0209999997
64,1742213923.395772,0.0228000004
65,1742213923.944227,0.0179999992
66,1742213924.5159295,0.0221999995
67,1742213925.081568,0.0175999999
68,1742213925.6261277,0.0195999984
69,1742213926.1751108,0.0184000004
70,1742213926.744473,0.0179999992
71,1742213927.3100703,0.0172000006
72,1742213927.8568437,0.0199999996
73,1742213928.4252055,0.0205999985
74,1742213928.991587,0.0143999998
75,1742213929.5448363,0.0162000004
76,1742213930.1087308,0.019199999
77,1742213930.6756673,0.0196000002
78,1742213931.245074,0.0187999997
79,1742213931.8173492,0.0165999979
80,1742213932.3815584,0.0196000002
81,1742213932.943367,0.0135999992
82,1742213933.5107808,0.0175999999
83,1742213934.0741875,0.0194000006
84,1742213934.6312802,0.0190000013
85,1742213935.176374,0.0169999991
86,1742213935.7289867,0.0197999999
87,1742213936.2991467,0.0194000006
88,1742213936.8495922,0.0197999999
89,1742213937.3933456,0.0225999989
90,1742213937.960963,0.019199999
91,1742213938.5451832,0.0193999987
92,1742213939.0949554,0.0187999997
93,1742213939.658227,0.0184000004
94,1742213940.2311847,0.0197999999
95,1742213940.7787402,0.0148
96,1742213941.3293803,0.021399999
97,1742213941.8993337,0.0161999986
98,1742213942.4431343,0.030799998
99,1742213943.0113328,0.0145999994
100,1742213943.574672,0.0187999997
101,1742213944.1419833,0.0139999995
102,1742213944.6936474,0.0189999994
103,1742213945.2598894,0.0245999992
104,1742213945.8135133,0.0172000006
105,1742213946.3611698,0.0187999997
106,1742213947.475557,0.0184000004
107,1742213948.0314095,0.0194000006
108,1742213948.5790184,0.0203999989
109,1742213949.1439533,0.0171999987
110,1742213949.6987028,0.0177999996
111,1742213950.2775238,0.0186000001
112,1742213950.833183,0.019799998
113,1742213951.3814073,0.0204000007
114,1742213951.9340365,0.0143999998
115,1742213952.4758608,0.0196000002
116,1742213953.0444357,0.0159999989
117,1742213954.162444,0.0197999999
118,1742213954.781398,0.0149999997
119,1742213955.3422542,0.0209999997
120,1742213955.912037,0.0175999999
121,1742213956.4765813,0.0211999994
122,1742213957.0439396,0.0205999985
123,1742213957.619669,0.0175999999
124,1742213958.1787388,0.0160000008
125,1742213958.732073,0.0187999997
126,1742213959.2757568,0.0263999999
127,1742213959.8298717,0.0223999992
128,1742213960.3997943,0.0179999992
129,1742213960.9450727,0.0187999979
130,1742213961.5148807,0.0167999994
131,1742213962.0780733,0.0221999995
132,1742213962.646484,0.0157999992
133,1742213963.1976442,0.0143999988
134,1742213963.7619193,0.0179999992
135,1742213964.3269973,0.0183999985
136,1742213964.88177,0.0209999997
137,1742213965.4318075,0.0153999999
138,1742213965.9794734,0.0193999987
139,1742213966.548811,0.0177999996
140,1742213967.1139822,0.0184000004
141,1742213967.6839678,0.0175999999
142,1742213968.2522542,0.0205999985
143,1742213968.81549,0.0211999994
144,1742213969.3851337,0.0201999992
145,1742213969.9300165,0.0194000006
146,1742213970.503399,0.0143999998
147,1742213971.061686,0.0196000002
148,1742213971.613878,0.0206000004
149,1742213972.1778414,0.0228000004
