,t,V
0,1742225320.401262,0.0183999985
1,1742225320.9602473,0.0412000008
2,1742225321.5764174,0.0151999993
3,1742225322.7236419,0.0372000001
4,1742225323.2842429,0.0123999994
5,1742225323.8685794,0.0164000001
6,1742225324.4490323,0.0148
7,1742225325.041242,0.0196000002
8,1742225325.5935495,0.0155999986
9,1742225326.1905105,0.0127999997
10,1742225326.7353837,0.0375999957
11,1742225327.3422568,0.0167999994
12,1742225327.8773258,0.0267999992
13,1742225328.4704192,0.0184000004
14,1742225329.607665,0.0196000002
15,1742225330.1686516,0.0175999999
16,1742225330.7575479,0.0379999988
17,1742225331.2960248,0.0228000004
18,1742225331.8690758,0.0167999994
19,1742225332.432022,0.0172000006
20,1742225333.0021837,0.0175999999
21,1742225333.56014,0.0252
22,1742225334.1420324,0.0164000001
23,1742225334.6753242,0.0407999977
24,1742225335.2534237,0.0335999988
25,1742225335.8181403,0.0287999995
26,1742225336.4390206,0.0135999992
27,1742225336.985846,0.0159999989
28,1742225337.5749345,0.0136000002
29,1742225338.1135297,0.0148
30,1742225338.7032955,0.0344000012
31,1742225339.2495575,0.0275999997
32,1742225339.838587,0.0127999997
33,1742225340.4012072,0.0172000006
34,1742225340.9746423,0.0167999994
35,1742225341.5100062,0.0383999981
36,1742225342.1389394,0.0148
37,1742225342.685041,0.0348000005
38,1742225343.2922437,0.0183999985
39,1742225343.844018,0.0192000009
40,1742225344.4392643,0.0151999993
41,1742225344.981597,0.0135999992
42,1742225345.571104,0.0335999988
43,1742225346.1181686,0.0324000008
44,1742225346.71037,0.0175999999
45,1742225347.8434389,0.0172000006
46,1742225348.3864417,0.0147999991
47,1742225348.975841,0.0155999986
48,1742225349.5142264,0.0164000001
49,1742225350.1086254,0.013199999
50,1742225350.6545217,0.0147999991
51,1742225351.2441254,0.0175999999
52,1742225351.8029766,0.0355999991
53,1742225352.3887537,0.0120000001
54,1742225352.9370897,0.0275999997
55,1742225353.517937,0.0139999995
56,1742225354.070423,0.0251999982
57,1742225354.6461837,0.0175999999
58,1742225355.1947546,0.0167999994
59,1742225355.761722,0.0127999997
60,1742225356.3202753,0.0187999997
61,1742225356.9434156,0.0167999994
62,1742225358.0948079,0.0255999994
63,1742225358.6370394,0.0131999999
64,1742225359.2276988,0.0123999994
65,1742225359.768208,0.0175999999
66,1742225360.351865,0.0160000008
67,1742225360.903021,0.0375999995
68,1742225361.4914834,0.0175999999
69,1742225362.037139,0.0124000004
70,1742225362.6274323,0.0535999984
71,1742225363.1644557,0.0151999993
72,1742225363.7457933,0.0335999988
73,1742225364.3025055,0.0164000001
74,1742225364.861466,0.013199999
75,1742225365.4108806,0.0348000005
76,1742225366.0425127,0.0167999994
77,1742225367.1945245,0.0120000001
78,1742225367.73538,0.019199999
79,1742225368.327037,0.0427999981
80,1742225368.8633554,0.0180000011
81,1742225369.4602687,0.0120000001
82,1742225370.0042088,0.0207999982
83,1742225370.5951712,0.0275999997
84,1742225371.1336663,0.0143999998
85,1742225371.7206469,0.0136000002
86,1742225372.2878358,0.013199999
87,1742225372.8694801,0.0160000008
88,1742225373.411872,0.0355999991
89,1742225374.0129404,0.0143999998
90,1742225374.5654197,0.0339999981
91,1742225375.1625395,0.0127999997
92,1742225375.704818,0.0143999998
93,1742225376.2901196,0.0175999999
94,1742225376.8487518,0.0127999997
95,1742225377.4294763,0.0172000006
96,1742225377.9640145,0.0139999995
97,1742225378.594519,0.0155999996
98,1742225379.1379533,0.0167999994
99,1742225379.7254221,0.0351999998
100,1742225380.269809,0.0383999981
101,1742225380.861416,0.0187999997
102,1742225381.3965666,0.0167999994
103,1742225382.0255432,0.0139999995
104,1742225382.5816,0.0160000008
105,1742225383.157277,0.0124000004
106,1742225383.7008355,0.0296
107,1742225384.2929857,0.0135999992
108,1742225384.8355176,0.019199999
109,1742225385.4147317,0.0364000015
110,1742225385.9566784,0.0271999985
111,1742225386.5773368,0.0127999997
112,1742225387.1194952,0.0427999981
113,1742225387.6923916,0.0151999993
114,1742225388.2541656,0.0167999994
115,1742225389.9955187,0.0151999993
116,1742225390.554276,0.0907999948
117,1742225391.1619883,0.0175999999
118,1742225391.7215466,0.0164000001
119,1742225392.3132713,0.0179999992
120,1742225392.8558493,0.0239999983
121,1742225393.4466634,0.0156000005
122,1742225394.006046,0.0195999984
123,1742225394.5941787,0.0131999999
124,1742225395.1389053,0.0159999989
125,1742225395.7305884,0.0167999994
126,1742225396.2671585,0.0172000006
127,1742225396.892404,0.0340000018
128,1742225397.4562683,0.0147999991
129,1742225398.046512,0.0143999998
130,1742225398.5891278,0.0156000005
131,1742225399.1632638,0.0184000004
132,1742225399.7207437,0.0139999995
133,1742225400.3418953,0.0155999996
134,1742225400.880927,0.0187999997
135,1742225401.473682,0.0147999991
136,1742225402.0231233,0.0359999985
137,1742225402.6050987,0.0151999993
138,1742225403.1738315,0.0199999996
139,1742225403.7511182,0.0163999982
140,1742225404.3059866,0.0155999996
141,1742225404.9275494,0.0151999993
142,1742225405.4738934,0.0164000001
143,1742225406.0410442,0.0351999998
144,1742225406.6074588,0.0195999984
145,1742225407.1843722,0.0171999987
146,1742225407.740507,0.0355999991
147,1742225408.353956,0.0139999995
148,1742225408.9032614,0.0364000015
149,1742225409.51329,0.0172000006
150,1742225410.0740693,0.0167999994
151,1742225410.6802993,0.0147999991
152,1742225411.2224064,0.0159999989
153,1742225411.8153808,0.0283999983
154,1742225412.3664234,0.0127999997
155,1742225412.965371,0.0251999982
156,1742225413.5240114,0.0171999987
157,1742225414.1075413,0.0163999982
158,1742225414.6731822,0.0192000009
159,1742225415.261746,0.0160000008
160,1742225415.8064814,0.0184000004
161,1742225416.3930829,0.0131999999
162,1742225416.932666,0.0164000001
163,1742225417.5107365,0.0148
164,1742225418.051429,0.0151999993
165,1742225419.23653,0.0147999991
166,1742225419.8654938,0.0120000001
167,1742225420.425557,0.0167999994
168,1742225421.0062587,0.0127999997
169,1742225421.5748782,0.0403999984
170,1742225422.1652317,0.0239999983
171,1742225422.70729,0.0156000005
172,1742225423.2837596,0.0155999996
173,1742225423.8375432,0.0255999994
174,1742225424.4571311,0.0143999998
175,1742225425.0029087,0.0163999982
176,1742225425.6117942,0.0375999995
177,1742225426.1747222,0.0179999992
178,1742225426.7597055,0.0175999999
179,1742225427.325639,0.0167999994
180,1742225427.9117453,0.0151999993
181,1742225428.475137,0.0135999992
182,1742225429.0984464,0.0167999994
183,1742225429.6506925,0.0155999986
184,1742225430.2467847,0.0143999998
185,1742225430.8058505,0.0148
186,1742225431.394896,0.0131999999
187,1742225431.9552965,0.0180000011
188,1742225432.5429928,0.0127999997
189,1742225433.092416,0.0155999996
190,1742225433.6997395,0.0171999987
191,1742225434.845383,0.0159999989
192,1742225435.392609,0.0175999999
193,1742225435.990747,0.0379999988
194,1742225436.5501158,0.0140000004
195,1742225437.143505,0.0183999985
196,1742225437.7096689,0.0127999997
197,1742225438.297976,0.0231999997
198,1742225438.8508897,0.0156000005
199,1742225439.480734,0.0171999987
200,1742225440.0407557,0.0296
201,1742225440.6288779,0.0163999982
202,1742225441.17648,0.0115999999
203,1742225441.7463129,0.0155999986
204,1742225442.2924461,0.0131999999
205,1742225442.9154572,0.0119999992
206,1742225443.4572601,0.0167999994
207,1742225444.0433562,0.0155999986
208,1742225444.586005,0.0184000004
209,1742225445.7248228,0.0167999994
210,1742225446.2949502,0.0139999995
211,1742225446.8639865,0.0907999948
