,t,V
0,1742893285.3281152,0.0208000001
1,1742893285.9356866,0.0151999993
2,1742893286.4934385,0.0219999999
3,1742893287.0891304,0.0211999994
4,1742893287.6566556,0.0171999987
5,1742893288.238117,0.0204000007
6,1742893289.4247031,0.019199999
7,1742893289.9901783,0.0155999996
8,1742893290.6011174,0.0208000001
9,1742893291.1630046,0.0151999993
10,1742893292.3139837,0.0199999996
11,1742893292.8887265,0.0164000001
12,1742893293.4462957,0.0204000007
13,1742893294.0261528,0.0192000009
14,1742893294.59217,0.0211999994
15,1742893295.1763873,0.0179999992
16,1742893295.7293913,0.0199999996
17,1742893296.308152,0.0172000006
18,1742893296.8807034,0.0187999979
19,1742893297.4588587,0.0187999997
20,1742893298.0135822,0.0216000006
21,1742893298.5901866,0.0187999997
22,1742893299.16343,0.019199999
23,1742893299.739755,0.0211999994
24,1742893300.3093905,0.0219999999
25,1742893300.892314,0.0231999997
26,1742893301.4410036,0.0199999996
27,1742893302.579741,0.0223999992
28,1742893303.780111,0.0215999987
29,1742893304.3500562,0.0208000001
30,1742893304.9146507,0.0196000002
31,1742893305.4928348,0.0187999997
32,1742893306.0639715,0.0203999989
33,1742893306.6433244,0.0199999996
34,1742893307.2151327,0.0287999995
35,1742893307.7899225,0.0196000002
36,1742893308.3426764,0.0187999997
37,1742893308.984464,0.0167999994
38,1742893309.5452003,0.0223999992
39,1742893310.1203752,0.0203999989
40,1742893310.6820073,0.0184000004
41,1742893312.3763785,0.0196000002
42,1742893312.9463632,0.0164000001
43,1742893313.5216355,0.0151999993
44,1742893314.0899727,0.0187999997
45,1742893314.6693149,0.0208000001
46,1742893315.2285461,0.0187999997
47,1742893315.8088274,0.0164000001
48,1742893316.9265795,0.0207999982
49,1742893317.4809902,0.0199999996
50,1742893319.2431245,0.0171999987
51,1742893319.8120368,0.0183999985
52,1742893320.3880816,0.0211999994
53,1742893321.010382,0.0483999997
54,1742893321.5748093,0.0208000001
55,1742893322.1431983,0.0196000002
56,1742893323.2965956,0.0252
57,1742893323.87808,0.0187999997
58,1742893324.4407895,0.0164000001
59,1742893325.0243883,0.0192000009
60,1742893325.5823586,0.0203999989
61,1742893326.1533089,0.019199999
62,1742893326.7120252,0.0207999982
63,1742893327.292384,0.0179999992
64,1742893327.8647184,0.0196000002
65,1742893328.4369898,0.0199999996
66,1742893328.9970038,0.0227999985
67,1742893330.127433,0.019199999
68,1742893330.7042744,0.0207999982
69,1742893331.267449,0.0187999997
70,1742893331.8457522,0.0247999988
71,1742893332.3919442,0.0155999996
72,1742893333.5471966,0.0167999994
73,1742893334.1329615,0.0227999985
74,1742893335.8161051,0.0184000004
75,1742893336.395911,0.0203999989
76,1742893337.504999,0.0184000004
77,1742893338.0632946,0.0203999989
78,1742893338.6405468,0.0196000002
79,1742893339.208955,0.0203999989
80,1742893339.788743,0.0211999994
81,1742893340.3680594,0.0227999985
82,1742893340.9414902,0.0199999996
83,1742893341.515819,0.0164000001
84,1742893342.7338922,0.0219999999
85,1742893343.3021774,0.0208000001
86,1742893343.859663,0.0527999997
87,1742893344.449865,0.0199999996
88,1742893345.0189202,0.0211999994
89,1742893345.6546178,0.019199999
90,1742893346.228918,0.0155999996
91,1742893346.7930095,0.0208000001
92,1742893347.3643892,0.0203999989
93,1742893347.9521515,0.0207999982
94,1742893349.0819008,0.0155999996
95,1742893349.6487353,0.0183999985
96,1742893350.7787566,0.0164000001
97,1742893351.3522327,0.0167999994
98,1742893351.9130507,0.017599998
99,1742893353.0344365,0.0155999996
100,1742893353.5844996,0.0208000001
101,1742893354.146629,0.0159999989
102,1742893354.7124636,0.0196000002
103,1742893355.2678072,0.0387999974
104,1742893355.834797,0.0184000004
105,1742893356.4316015,0.0195999984
106,1742893357.00253,0.0227999985
107,1742893357.5639462,0.0240000002
108,1742893358.129018,0.0199999996
109,1742893358.6950371,0.0211999994
110,1742893359.2615128,0.0231999978
111,1742893359.8300872,0.0195999984
112,1742893360.3946161,0.0207999982
113,1742893361.512304,0.0187999997
114,1742893362.0870469,0.021999998
115,1742893363.2158284,0.0343999974
116,1742893363.7958925,0.0872000009
117,1742893364.3486855,0.0183999985
118,1742893365.4862783,0.0151999993
119,1742893366.0486884,0.0207999982
120,1742893366.614207,0.0171999987
121,1742893367.1619666,0.027999999
122,1742893367.735984,0.0203999989
123,1742893368.281433,0.019199999
124,1742893368.8482373,0.0203999989
125,1742893369.4155917,0.0215999987
126,1742893369.9841673,0.0203999989
127,1742893370.5500462,0.0175999999
128,1742893371.119805,0.0203999989
129,1742893371.6808822,0.0187999997
130,1742893372.2452655,0.0335999988
131,1742893372.8123384,0.0208000001
132,1742893373.9497871,0.0164000001
133,1742893374.5152664,0.0196000002
134,1742893375.0858932,0.0159999989
135,1742893375.630217,0.019199999
136,1742893376.188049,0.0183999985
137,1742893376.7505934,0.0167999994
138,1742893377.299101,0.0215999987
139,1742893377.8647127,0.0196000002
140,1742893378.4312096,0.0215999987
141,1742893378.9966698,0.0148
142,1742893379.5633082,0.0196000002
143,1742893380.1360834,0.0183999985
144,1742893380.751499,0.0223999992
145,1742893381.3117058,0.0180000011
146,1742893381.887951,0.0143999998
147,1742893382.45429,0.0151999993
148,1742893383.0162497,0.0208000001
149,1742893383.5865216,0.0183999985
150,1742893384.7148373,0.0196000002
151,1742893385.2802298,0.0199999996
152,1742893385.8513799,0.0196000002
153,1742893386.4171853,0.0187999997
154,1742893386.983393,0.0219999999
155,1742893388.1156201,0.0164000001
156,1742893388.6823428,0.0204000007
157,1742893389.2314043,0.0255999994
158,1742893389.796612,0.0183999985
159,1742893390.3705945,0.0195999984
160,1742893390.9381964,0.0207999982
161,1742893391.5039148,0.0203999989
162,1742893392.0675364,0.0383999981
163,1742893392.6343727,0.0215999987
164,1742893393.1969025,0.0199999996
165,1742893393.768945,0.0159999989
166,1742893394.895751,0.0291999988
167,1742893395.4666455,0.0163999982
168,1742893396.0329323,0.0215999987
169,1742893396.6116009,0.0879999995
170,1742893397.1647286,0.0195999984
171,1742893397.7325583,0.0187999997
172,1742893398.8896363,0.0195999984
173,1742893399.452269,0.0315999985
174,1742893400.014716,0.0151999993
175,1742893400.5843623,0.0215999987
176,1742893401.1485806,0.0148
177,1742893401.7203496,0.023599999
178,1742893402.2705297,0.0227999985
179,1742893403.3897648,0.0179999992
180,1742893403.9564693,0.0363999978
181,1742893405.0833852,0.0175999999
182,1742893405.655293,0.0872000009
183,1742893406.2154813,0.0211999994
184,1742893406.7872627,0.0243999995
185,1742893407.339872,0.0227999985
186,1742893407.8971891,0.0192000009
187,1742893408.4736798,0.0203999989
188,1742893409.0324469,0.0247999988
189,1742893410.1676643,0.0339999981
190,1742893410.7310739,0.019199999
191,1742893411.8731787,0.0187999997
192,1742893412.4310281,0.0184000004
193,1742893412.9989963,0.0196000002
194,1742893414.1326118,0.0387999974
195,1742893415.254156,0.021999998
196,1742893415.8214664,0.0215999987
197,1742893416.389256,0.0203999989
198,1742893416.9511673,0.0167999994
199,1742893417.5130737,0.0412000008
200,1742893418.0906177,0.0199999996
201,1742893418.6482606,0.0211999994
202,1742893419.2199,0.0151999993
203,1742893421.456304,0.0199999996
204,1742893422.0219047,0.0203999989
205,1742893422.5887895,0.0171999987
206,1742893423.1514308,0.019199999
207,1742893423.7204509,0.0196000002
208,1742893424.2819412,0.0159999989
209,1742893424.8558707,0.0204000007
210,1742893425.4178746,0.0208000001
211,1742893426.5355453,0.0196000002
212,1742893427.1043282,0.0203999989
213,1742893427.652593,0.0215999987
214,1742893428.2070372,0.0247999988
215,1742893428.771318,0.0208000001
216,1742893429.8854034,0.0215999987
217,1742893430.4521651,0.0208000001
218,1742893431.016531,0.0187999997
219,1742893431.5913875,0.0159999989
220,1742893432.1522331,0.0292000007
221,1742893433.2859485,0.0216000006
222,1742893433.8580813,0.0275999997
223,1742893434.420262,0.0203999989
224,1742893435.5503619,0.0208000001
225,1742893436.1228476,0.0203999989
226,1742893436.6828828,0.019199999
227,1742893437.2509015,0.0511999987
228,1742893437.8205624,0.0159999989
229,1742893438.3918226,0.021999998
230,1742893438.973199,0.0192000009
231,1742893439.5323384,0.0215999987
232,1742893440.101913,0.021999998
233,1742893440.72009,0.0171999987
234,1742893441.2913735,0.0204000007
235,1742893441.8750448,0.0179999992
236,1742893443.005888,0.0203999989
237,1742893443.5707297,0.0208000001
238,1742893444.1418035,0.0171999987
239,1742893445.2710364,0.0187999997
